origin_url,is_available
https://github.com/AlsaceDigitale/www.edgefest.fr,True
https://github.com/AlsaceDigitale/www.edgefest.fr-2019-temporary,False
https://github.com/AlsaceDigitale/www.hackingindustry.camp,False
https://github.com/AlsaceDigitale/www.hacksxb.com,True
https://github.com/AlsaceDigitale/www.swstrasbourg.eu,False
https://github.com/ApieFrance/ApieFrance.github.io,True
https://github.com/ApieFrance/choosealicense.com,True
https://github.com/BRGM/ANZSoilML,False
https://github.com/BRGM/BLiv,False
https://github.com/BRGM/ComPASS,False
https://github.com/BRGM/GeoSciML,True
https://github.com/BRGM/GeoSciMLontology,True
https://github.com/BRGM/Nifi-WKB-to-WKT-processor,False
https://github.com/BRGM/Pic-EAU,False
https://github.com/BRGM/cgal,False
https://github.com/BRGM/core-geonetwork,True
https://github.com/BRGM/daobs,True
https://github.com/BRGM/external_file,True
https://github.com/BRGM/geothermal-test-cases,True
https://github.com/BRGM/gml_application_schema_toolbox,True
https://github.com/BRGM/gmlib,True
https://github.com/BRGM/hubeau,True
https://github.com/BRGM/plouf,True
https://github.com/BRGM/razorback,True
https://github.com/BRGM/registry-core,False
https://github.com/BaseAdresseNationale/api-gestion,True
https://github.com/BaseAdresseNationale/ban,True
https://github.com/BaseAdresseNationale/charte-experimentation-2017,False
https://github.com/BaseAdresseNationale/donnees-initiales-2018,True
https://github.com/BaseAdresseNationale/script_divers,True
https://github.com/CEA-LIST/CinguParam,False
https://github.com/CEA-LIST/Cingulata,True
https://github.com/CEA-LIST/DAHLIA-BodyIndex,True
https://github.com/CEA-LIST/N2D2,True
https://github.com/CEA-LIST/sgntx,False
https://github.com/CEA-Leti/wsnet,False
https://github.com/CEREMA/com.cerema.infocentre_old,True
https://github.com/CEREMA/dsi.adutils,False
https://github.com/CEREMA/dterce.ressource_covadis,True
https://github.com/CEREMA/dtermed-ceremao,True
https://github.com/CEREMA/dtermed.ML_bati_non-bati,False
https://github.com/CEREMA/dtermed.MobiTC,False
https://github.com/CEREMA/dtermed.MobiTC2,False
https://github.com/CEREMA/dtermed.annuaire,False
https://github.com/CEREMA/dtermed.anywhere,False
https://github.com/CEREMA/dtermed.bpclight-old,False
https://github.com/CEREMA/dtermed.bpclight2,False
https://github.com/CEREMA/dtermed.bpcmobile,False
https://github.com/CEREMA/dtermed.cerema-info,False
https://github.com/CEREMA/dtermed.cloud2,False
https://github.com/CEREMA/dtermed.cours_opendata_ente,False
https://github.com/CEREMA/dtermed.cvrh.resalia,False
https://github.com/CEREMA/dtermed.dashboard,False
https://github.com/CEREMA/dtermed.db.bpclight,False
https://github.com/CEREMA/dtermed.db.cerema.vibren,False
https://github.com/CEREMA/dtermed.db.preshume,False
https://github.com/CEREMA/dtermed.deploy,False
https://github.com/CEREMA/dtermed.detection-friches,True
https://github.com/CEREMA/dtermed.ecureuil,False
https://github.com/CEREMA/dtermed.ecureuilmobile,False
https://github.com/CEREMA/dtermed.ecureuilmobile2,False
https://github.com/CEREMA/dtermed.faveur,False
https://github.com/CEREMA/dtermed.formulaires,False
https://github.com/CEREMA/dtermed.goprro,True
https://github.com/CEREMA/dtermed.infocentre,False
https://github.com/CEREMA/dtermed.mobile.ecureuil,False
https://github.com/CEREMA/dtermed.owncloud,True
https://github.com/CEREMA/dtermed.preshume,False
https://github.com/CEREMA/dtermed.rivages,False
https://github.com/CEREMA/dtermed.rivages-old,True
https://github.com/CEREMA/dtermed.sapei,False
https://github.com/CEREMA/dtermed.sysiphe,False
https://github.com/CEREMA/dtermed.sysiphe-old,True
https://github.com/CEREMA/dtermed.ticket,False
https://github.com/CEREMA/dtermed.ticket2,False
https://github.com/CEREMA/dtermed.vibren,False
https://github.com/CEREMA/dtermed.virtualdesktop,False
https://github.com/CEREMA/dtermed.webapp.bpclight,False
https://github.com/CEREMA/dtermed.webapp.ecureuil,False
https://github.com/CEREMA/dtermed.webapp.rivages,True
https://github.com/CEREMA/dterso.pluginQgis.CeremaCartEau,True
https://github.com/CEREMA/dterso.pluginQgis3.CeremaCartEau3,False
https://github.com/CEREMA/rivages-android,False
https://github.com/CEREMA/territoires-ville.DiagFeux,False
https://github.com/CEREMA/territoires-ville.Giration,False
https://github.com/CEREMA/territoires-ville.MiTemps,False
https://github.com/CEREMA/territoires-ville.OndeV,False
https://github.com/CEREMA/territoires-ville.TempusAccess,True
https://github.com/CNRS-DSI-Dev/core,True
https://github.com/CNRS-DSI-Dev/dashboard,True
https://github.com/CNRS-DSI-Dev/gatekeeper,True
https://github.com/CNRS-DSI-Dev/group_custom,True
https://github.com/CNRS-DSI-Dev/gtu,True
https://github.com/CNRS-DSI-Dev/lotsofgroups,True
https://github.com/CNRS-DSI-Dev/lotsofusers,True
https://github.com/CNRS-DSI-Dev/mycore,True
https://github.com/CNRS-DSI-Dev/mycore-theme,True
https://github.com/CNRS-DSI-Dev/mycore_backup_restore_user_files,True
https://github.com/CNRS-DSI-Dev/mycore_build,True
https://github.com/CNRS-DSI-Dev/mycore_press,True
https://github.com/CNRS-DSI-Dev/mycore_sympa,True
https://github.com/CNRS-DSI-Dev/mycore_tools,True
https://github.com/CNRS-DSI-Dev/mycore_versions,True
https://github.com/CNRS-DSI-Dev/mycore_wayf,True
https://github.com/CNRS-DSI-Dev/password_policy,True
https://github.com/CNRS-DSI-Dev/rename_groups,True
https://github.com/CNRS-DSI-Dev/user_account_actions,True
https://github.com/CNRS-DSI-Dev/user_deletion_request,True
https://github.com/CNRS-DSI-Dev/user_files_migrate,True
https://github.com/CNRS-DSI-Dev/user_files_restore,True
https://github.com/CNRS-DSI-Dev/user_servervars2,True
https://github.com/CNRS-DSI-Dev/user_set_password,True
https://github.com/CNRS-DSI-Dev/user_share_guest,True
https://github.com/DGAC/MattermostModule,False
https://github.com/DGAC/dgac.github.io,False
https://github.com/DGAC/nmb2b-client-js,True
https://github.com/DGAC/nmb2b-client-js-example,True
https://github.com/DGAC/nmb2b-phpclient,False
https://github.com/DGAC/simupaye,False
https://github.com/DGFiP/Test-Compta-Demat,True
https://github.com/DISIC/GMR,True
https://github.com/DISIC/GMR-sandbox,False
https://github.com/DISIC/Test-Compta-Demat,True
https://github.com/DISIC/XWiki-cerfa-numerique,False
https://github.com/DISIC/assistant-rgaa,True
https://github.com/DISIC/bmc-tools,False
https://github.com/DISIC/circuits,False
https://github.com/DISIC/foss-contrib-policy-template,True
https://github.com/DISIC/gazette-bluehats,False
https://github.com/DISIC/guide-RGAA_CMS,True
https://github.com/DISIC/guide-auditeur,True
https://github.com/DISIC/guide-chef_projets,True
https://github.com/DISIC/guide-concepteur,True
https://github.com/DISIC/guide-contribuer_accessible,True
https://github.com/DISIC/guide-decideur,True
https://github.com/DISIC/guide-derogations,True
https://github.com/DISIC/guide-developpeur,True
