deprecation_reason,description,forks,homepage,keywords,language,latest_download_url,latest_stable_release_number,latest_stable_release_published_at,license_normalized,licenses,name,normalized_licenses,package_manager_url,platform,rank,repository_url,stars,status
None,"A Python parser for alto XML files, for handling OCR outputs",0,https://github.com/envinorma/alto,['alto'],Python,None,0.0.5,2021-06-15T15:21:10.000Z,True,MIT license,alto-xml,['MIT'],https://pypi.org/project/alto-xml/,Pypi,7,https://github.com/envinorma/alto,2,None
None,Helper macros for Rusticata,5,https://github.com/rusticata/rusticata-macros,"['parser', 'serialize', 'nom']",Rust,https://crates.io/api/v1/crates/rusticata-macros/4.0.0/download,4.0.0,2021-09-02T14:32:24.527Z,True,MIT/Apache-2.0,rusticata-macros,"['MIT', 'Apache-2.0']",https://crates.io/crates/rusticata-macros/,Cargo,14,https://github.com/rusticata/rusticata-macros,4,None
None,an jinja2 extension to add a from_json filter,1,https://github.com/metwork-framework/jinja2_from_json_extension,"['autoreadme', 'integration-level-3']",Python,None,0.0.1,2021-09-28T11:00:58.000Z,True,BSD,jinja2-from-json-extension,['BSD-3-Clause'],https://pypi.org/project/jinja2-from-json-extension/,Pypi,6,https://github.com/metwork-framework/jinja2_from_json_extension,0,None
None,a wrapper around sudoc webservices,1,https://github.com/ezpaarse-project/node-sudoc#readme,"['sudoc', 'issn', 'isbn', 'ppn']",JavaScript,https://registry.npmjs.org/sudoc/-/sudoc-1.0.4.tgz,1.0.4,2016-02-18T17:12:08.635Z,False,MIT,sudoc,['MIT'],https://www.npmjs.com/package/sudoc,NPM,8,https://github.com/ezpaarse-project/node-sudoc,0,None
None,system,2,https://github.com/ISCPIF/freedsl,"['effects', 'free-monad', 'functional-programming', 'modularity', 'monad', 'monad-transformers', 'pure', 'scala']",Scala,https://repo1.maven.org/maven2/fr/iscpif/freedsl/system_2.11/0.12/system_2.11-0.12.jar,None,None,True,LGPL,fr.iscpif.freedsl:system_2.11,['Other'],https://repo1.maven.org/maven2/fr/iscpif/freedsl/system_2.11,Maven,7,https://github.com/ISCPIF/freedsl,34,None
None,opinionated python (structured) logging library built on structlog,1,https://github.com/metwork-framework/mflog,"['autoreadme', 'integration-level-3', 'library', 'logging', 'python2', 'python3', 'structlog']",Python,None,0.1.0,2021-01-07T09:59:21.000Z,True,BSD 3,mflog,['BSD-3-Clause-Attribution'],https://pypi.org/project/mflog/,Pypi,9,https://github.com/metwork-framework/mflog,2,None
None,udata customizations for data.gouv.fr,4,https://github.com/etalab/udata-front,"['udata', 'opendata', 'portal', 'etalab']",HTML,None,1.1.0,2021-10-12T08:46:27.000Z,True,LGPL,udata-front,['Other'],https://pypi.org/project/udata-front/,Pypi,7,https://github.com/etalab/udata-front,1,None
None,This package is a part of Ilos framework.,0,https://github.com/betagouv/ilos#readme,"['node', 'typescript', 'microservice']",TypeScript,https://registry.npmjs.org/@ilos/transport-redis/-/@ilos/transport-redis-0.3.1.tgz,0.3.1,2019-07-26T14:02:38.447Z,False,Apache-2.0,@ilos/transport-redis,['Apache-2.0'],https://www.npmjs.com/package/@ilos/transport-redis,NPM,9,https://github.com/betagouv/ilos,5,None
None,Interfaces des composants web de hornet-js,6,https://github.com/diplomatiegouvfr/hornet-js#readme,[],TypeScript,https://registry.npmjs.org/hornet-js-components/-/hornet-js-components-5.5.0-rc.4.tgz,5.4.1,2019-07-25T12:25:03.430Z,False,CECILL-2.1,hornet-js-components,['CECILL-2.1'],https://www.npmjs.com/package/hornet-js-components,NPM,11,https://github.com/diplomatiegouvfr/hornet-js,16,None
None,Trigram based algorithm for Addok.,0,https://github.com/addok/addok-trigrams,"['addok', 'geocoding']",Python,None,1.1.1,2018-07-19T09:14:41.000Z,False,WTFPL,addok-trigrams,['WTFPL'],https://pypi.org/project/addok-trigrams/,Pypi,8,https://github.com/addok/addok-trigrams,0,None
None,all,2,https://github.com/ISCPIF/freedsl,"['effects', 'free-monad', 'functional-programming', 'modularity', 'monad', 'monad-transformers', 'pure', 'scala']",Scala,https://repo1.maven.org/maven2/fr/iscpif/freedsl/all_2.11/0.10/all_2.11-0.10.jar,None,None,True,LGPL,fr.iscpif.freedsl:all_2.11,['Other'],https://repo1.maven.org/maven2/fr/iscpif/freedsl/all_2.11,Maven,7,https://github.com/ISCPIF/freedsl,34,None
None,French tax and benefit system for OpenFisca,90,https://github.com/openfisca/openfisca-france,"['benefit', 'france', 'microsimulation', 'social', 'tax', 'better-rules', 'legislation-as-code', 'rules-as-code']",Python,None,79.0.4,2021-10-18T08:29:04.000Z,True,http://www.fsf.org/licensing/licenses/agpl-3.0.html,OpenFisca-France,['Other'],https://pypi.org/project/OpenFisca-France/,Pypi,11,https://github.com/openfisca/openfisca-france,189,None
None,Python tools for interacting with Tesseract,0,https://github.com/envinorma/ocr_utils,['ocr_utils'],Python,None,0.0.4,2021-03-23T14:15:21.000Z,True,MIT license,tesseract-ocr-utils,['MIT'],https://pypi.org/project/tesseract-ocr-utils/,Pypi,7,https://github.com/envinorma/ocr_utils,1,None
None,Powerful XML parser to deal with Inspire and OGC standarts,2,https://github.com/inspireteam/parsers#readme,"['Inspire', 'OGC', 'XML', 'parsers', 'ISO-19139', 'Dublin Core']",JavaScript,https://registry.npmjs.org/inspire-parser/-/inspire-parser-0.15.0.tgz,0.15.0,2018-03-28T09:46:38.267Z,False,MIT,inspire-parser,['MIT'],https://www.npmjs.com/package/inspire-parser,NPM,6,https://github.com/inspireteam/parsers,1,None
None,Python lib related to nomenclatures,3,https://github.com/PnX-SI/Nomenclature-api-module,['ww'],None,None,None,None,True,GNU Affero General Public License v3,pypnnomenclature,['AGPL-3.0'],https://pypi.org/project/pypnnomenclature/,Pypi,5,https://github.com/PnX-SI/Nomenclature-api-module,1,None
None,A SAP API for SIFAC,1,https://github.com/unistra/django-sifac/,"['sifac', 'sap', 'django']",Python,None,0.3.2,2015-07-24T09:49:16.000Z,True,CeCILL-B,django-sifac,['CECILL-B'],https://pypi.org/project/django-sifac/,Pypi,7,https://github.com/unistra/django-sifac,2,None
None,A Django application to build LTI Tool Providers,0,https://github.com/openfun/django-lti-toolbox,"['Django', 'LTI']",Python,None,1.0.0,2021-01-13T10:15:06.000Z,False,MIT,django-lti-toolbox,['MIT'],https://pypi.org/project/django-lti-toolbox/,Pypi,9,https://github.com/openfun/django-lti-toolbox,4,None
None,[![npm version](https://badge.fury.io/js/%40etalab%2Fmajic.svg)](https://badge.fury.io/js/%40etalab%2Fmajic) [![XO code style](https://img.shields.io/badge/code_style-XO-5ed9c7.svg)](https://github.com/sindresorhus/xo),1,https://github.com/etalab/majic,[],JavaScript,https://registry.npmjs.org/@etalab/majic/-/@etalab/majic-0.9.1.tgz,0.9.1,2021-09-02T15:53:04.357Z,False,MIT,@etalab/majic,['MIT'],https://www.npmjs.com/package/@etalab/majic,NPM,9,https://github.com/etalab/majic,7,None
None,Outils permettant de manipuler les bases Adresse locales,2,https://github.com/etalab/base-adresse-locale,[],JavaScript,https://registry.npmjs.org/@etalab/bal/-/@etalab/bal-1.3.1.tgz,1.3.1,2021-09-03T15:02:41.202Z,False,MIT,@etalab/bal,['MIT'],https://www.npmjs.com/package/@etalab/bal,NPM,10,https://github.com/etalab/bal,2,None
None, Blueprints extension of the core component. It can be extended with Blueprints connectors to handle several graph databases. ,12,https://neoemf.atlanmod.org,"['eclipse-plugin', 'emf', 'large-models', 'persistence']",Java,https://repo1.maven.org/maven2/org/atlanmod/neoemf/neoemf-data-blueprints-core/2.0.1/neoemf-data-blueprints-core-2.0.1.jar,2.0.1,2020-10-12T10:45:37.000Z,True,Eclipse Public License v2.0,org.atlanmod.neoemf:neoemf-data-blueprints-core,['EPL-2.0'],https://repo1.maven.org/maven2/org/atlanmod/neoemf/neoemf-data-blueprints-core,Maven,10,https://github.com/atlanmod/NeoEMF,36,None
None,"Provide web-services to send SMS. It acts as a broker to real brokers (eg: smsenvoi.com). It also handles quota per application, and statistics.",3,http://www.esup-portail.org/display/PROJSMSU/ESUP-SMS-U,[],Java,https://repo1.maven.org/maven2/org/esup-portail/esup-smsu-api-lib/4.0.0/esup-smsu-api-lib-4.0.0.jar,4.0.0,2021-01-26T11:40:05.000Z,True,"The Apache Software License, Version 2.0",org.esup-portail:esup-smsu-api-lib,"['Apache-2.0', 'libpng-2.0']",https://repo1.maven.org/maven2/org/esup-portail/esup-smsu-api-lib,Maven,7,https://github.com/EsupPortail/esup-smsu-api,1,None
None,"Lab manager, experiment notebook, database for research labs",136,https://www.elabftw.net,"['docker', 'laboratory', 'lims', 'mysql', 'notebook', 'php']",PHP,None,4.0.11,2021-07-27T17:07:57.000Z,False,,elabftw,['AGPL-3.0'],None,Bower,7,https://github.com/NicolasCARPi/elabftw,541,Removed
None,Définition Typescript du module hornet-js-cas,6,https://github.com/diplomatiegouvfr/hornet-js#readme,[],TypeScript,https://registry.npmjs.org/hornet-js-bean-dts/-/hornet-js-bean-dts-5.3.0.tgz,5.3.0,2019-03-28T07:02:46.007Z,False,CECILL-2.1,hornet-js-bean-dts,['CECILL-2.1'],https://www.npmjs.com/package/hornet-js-bean-dts,NPM,10,https://github.com/diplomatiegouvfr/hornet-js,16,None
None,This package is a part of Ilos framework.,0,https://github.com/betagouv/ilos#readme,"['node', 'typescript', 'microservice']",TypeScript,https://registry.npmjs.org/@ilos/common/-/@ilos/common-0.3.1.tgz,0.3.1,2019-07-26T14:02:08.053Z,False,Apache-2.0,@ilos/common,['Apache-2.0'],https://www.npmjs.com/package/@ilos/common,NPM,11,https://github.com/betagouv/ilos,5,None
None,Wrapper around the Elsevier API.,1,https://github.com/ezpaarse-project/meta-els#readme,"['doi', 'pii', 'elsevier']",JavaScript,https://registry.npmjs.org/meta-els/-/meta-els-0.4.0.tgz,0.4.0,2015-08-14T14:46:39.937Z,False,MIT,meta-els,['MIT'],https://www.npmjs.com/package/meta-els,NPM,7,https://github.com/ezpaarse-project/meta-els,2,None
None,Search engine for address. Only address.,29,https://github.com/addok/addok,"['address', 'openstreetmap', 'geocoding', 'search-engine']",Python,None,1.0.2,2017-08-26T05:53:04.000Z,False,WTFPL,addok,['WTFPL'],https://pypi.org/project/addok/,Pypi,11,https://github.com/addok/addok,118,None
None,French tax and benefit system for OpenFisca,90,https://github.com/openfisca/openfisca-france,"['benefit', 'france', 'microsimulation', 'social', 'tax', 'better-rules', 'legislation-as-code', 'rules-as-code']",Python,None,51.2.0,2021-03-16T11:03:18.000Z,True,http://www.fsf.org/licensing/licenses/agpl-3.0.html,openfisca-france,['Other'],https://pypi.org/project/openfisca-france/,Pypi,9,https://github.com/openfisca/openfisca-france,189,None
None,This package is a part of Ilos framework.,0,https://github.com/betagouv/ilos#readme,"['node', 'typescript', 'microservice']",TypeScript,https://registry.npmjs.org/@ilos/config/-/@ilos/config-0.3.1.tgz,0.3.1,2019-07-26T14:02:12.794Z,False,Apache-2.0,@ilos/config,['Apache-2.0'],https://www.npmjs.com/package/@ilos/config,NPM,11,https://github.com/betagouv/ilos,5,None
None,DGAC ASTERIX toolkit,0,https://github.com/DGAC/asterix-tool,"['oclif', 'asterix', 'cli', 'nodejs']",TypeScript,https://registry.npmjs.org/@dgac/asterix-tool/-/@dgac/asterix-tool-0.3.0.tgz,0.3.0,2020-06-11T08:07:33.310Z,False,MIT,@dgac/asterix-tool,['MIT'],https://www.npmjs.com/package/@dgac/asterix-tool,NPM,7,https://github.com/DGAC/asterix-tool,0,None
None,svg,5,https://github.com/openmole/scala-js-plotlyjs,[],CSS,https://repo1.maven.org/maven2/org/openmole/scaladget/svg_sjs1_2.12/1.3.7/svg_sjs1_2.12-1.3.7.jar,1.3.7,2020-06-17T00:00:00.000Z,True,Affero GPLv3,org.openmole.scaladget:svg_sjs1_2.12,['AGPL-1.0'],https://repo1.maven.org/maven2/org/openmole/scaladget/svg_sjs1_2.12,Maven,10,https://github.com/openmole/scaladget,42,None
None,"Defines four types of styled hint blocks: info, danger, tip, working.",0,https://github.com/thomas88100/gitbook-plugin-hints-istex,[],JavaScript,https://registry.npmjs.org/gitbook-plugin-hints-istex/-/gitbook-plugin-hints-istex-1.0.1.tgz,1.0.1,2018-07-11T06:34:50.545Z,True,Apache 2.0,gitbook-plugin-hints-istex,['Apache-2.0'],https://www.npmjs.com/package/gitbook-plugin-hints-istex,NPM,8,https://github.com/thomas88100/gitbook-plugin-hints-istex,0,None
None,Device profiling in react native,0,https://github.com/pass-culture/react-native-profiling#readme,['react-native'],Objective-C,https://registry.npmjs.org/@pass-culture/react-native-profiling/-/@pass-culture/react-native-profiling-1.0.19.tgz,1.0.19,2021-06-18T13:42:05.187Z,False,MIT,@pass-culture/react-native-profiling,['MIT'],https://www.npmjs.com/package/@pass-culture/react-native-profiling,NPM,8,https://github.com/pass-culture/react-native-profiling,0,None
None,"LinBox - C++ library for exact, high-performance linear algebra ",19,http://linalg.org/,"['blackbox', 'finite-fields', 'linear-algebra', 'linear-system-solver', 'multiprecision']",C++,https://conda.anaconda.org/conda-forge/linux-64/linbox-1.6.3-h03cd913_1.tar.bz2,1.6.3,2019-06-18T21:58:56.000Z,True,LGPLv2.1,linbox,['LGPL-2.1'],https://anaconda.org/conda-forge/linbox,Conda,10,https://github.com/linbox-team/linbox,55,None
None,Popplonode can extract metadata & text from pdf files in a quick way,1,https://github.com/istex/popplonode#readme,[],C++,https://registry.npmjs.org/popplonode/-/popplonode-1.8.2.tgz,1.8.2,2019-06-08T20:19:37.515Z,False,MIT,popplonode,['MIT'],https://www.npmjs.com/package/popplonode,NPM,10,https://github.com/istex/popplonode,4,None
None,mgo,3,https://github.com/openmole/mgo,"['functional-programming', 'genetic-algorithm', 'hyperparameter-optimization', 'hyperparameter-tuning', 'hyperparameters', 'optimisation', 'parameter-tuning', 'scala']",Scala,https://repo1.maven.org/maven2/org/openmole/mgo_2.13/3.51/mgo_2.13-3.51.jar,v3.47.1,2021-07-07T13:41:25.000Z,True,Affero GPLv3,org.openmole:mgo_2.13,['AGPL-1.0'],https://repo1.maven.org/maven2/org/openmole/mgo_2.13,Maven,10,https://github.com/openmole/mgo,67,None
None,LemonLDAP::NG handler for Node.js,2,https://lemonldap-ng.org,"['Lemonldap::NG', 'SSO', 'SAML', 'OpenID-Connect', 'SSOaaS', 'handler', 'lemonldap-ng', 'nginx', 'sso-authentication']",CoffeeScript,https://registry.npmjs.org/lemonldap-ng-logger-syslog/-/lemonldap-ng-logger-syslog-0.5.4.tgz,0.5.4,2020-10-03T14:55:58.716Z,True,GPL-2.0-or-later,lemonldap-ng-logger-syslog,['CNRI-Python-GPL-Compatible'],https://www.npmjs.com/package/lemonldap-ng-logger-syslog,NPM,8,https://github.com/LemonLDAPNG/node-lemonldap-ng-handler,6,None
None,elabftw API to manage experiments and items,8,https://github.com/elabftw/elabapy,"['api-client', 'python-3', 'elabftw']",Python,None,0.8.2,2021-08-14T15:36:46.000Z,True,GPL v3,elabapy,['GPL-3.0'],https://pypi.org/project/elabapy/,Pypi,10,https://github.com/elabftw/elabapy,11,None
None,[![License][img-license]][link-license] [![NPM Version][img-npm]][link-npm] [![Code Coverage][img-coverage]][link-coverage],0,https://github.com/SocialGouv/legi-data,[],JavaScript,https://registry.npmjs.org/@socialgouv/legi-data/-/@socialgouv/legi-data-2.84.0.tgz,2.84.0,2021-10-19T03:37:36.010Z,False,Apache-2.0,@socialgouv/legi-data,['Apache-2.0'],https://www.npmjs.com/package/@socialgouv/legi-data,NPM,11,https://github.com/SocialGouv/legi-data,5,None
None,WebJar for xml-mapping,17,http://webjars.org,[],JavaScript,https://repo1.maven.org/maven2/org/webjars/npm/xml-mapping/1.7.1/xml-mapping-1.7.1.jar,1.7.1,2016-09-02T00:00:00.000Z,False,MIT,org.webjars.npm:xml-mapping,['MIT'],https://repo1.maven.org/maven2/org/webjars/npm/xml-mapping,Maven,10,https://github.com/Inist-CNRS/node-xml-mapping,39,None
None,error,2,https://github.com/ISCPIF/freedsl,"['effects', 'free-monad', 'functional-programming', 'modularity', 'monad', 'monad-transformers', 'pure', 'scala']",Scala,https://repo1.maven.org/maven2/fr/iscpif/freedsl/error_2.11/0.8/error_2.11-0.8.jar,None,None,True,LGPL,fr.iscpif.freedsl:error_2.11,['Other'],https://repo1.maven.org/maven2/fr/iscpif/freedsl/error_2.11,Maven,7,https://github.com/ISCPIF/freedsl,34,None
None,bootstrapslider,5,https://github.com/openmole/scala-js-plotlyjs,[],CSS,https://repo1.maven.org/maven2/org/openmole/scaladget/bootstrapslider_sjs1_2.13/1.3.7/bootstrapslider_sjs1_2.13-1.3.7.jar,1.3.7,2020-06-17T00:00:00.000Z,True,Affero GPLv3,org.openmole.scaladget:bootstrapslider_sjs1_2.13,['AGPL-1.0'],https://repo1.maven.org/maven2/org/openmole/scaladget/bootstrapslider_sjs1_2.13,Maven,10,https://github.com/openmole/scaladget,42,None
None,a jinja2 extension to add a fnmatch filter,0,https://github.com/metwork-framework/jinja2_fnmatch_extension,"['jinja2', 'extension', 'autoreadme', 'integration-level-3', 'jinja2-extension']",Python,None,0.0.2,2020-01-24T11:19:59.000Z,True,BSD,jinja2-fnmatch-extension,['BSD-3-Clause'],https://pypi.org/project/jinja2-fnmatch-extension/,Pypi,6,https://github.com/metwork-framework/jinja2_fnmatch_extension,0,None
None,LemonLDAP::NG handler for Node.js,2,https://lemonldap-ng.org,"['Lemonldap::NG', 'SSO', 'SAML', 'OpenID-Connect', 'SSOaaS', 'handler', 'lemonldap-ng', 'nginx', 'sso-authentication']",CoffeeScript,https://registry.npmjs.org/lemonldap-ng-conf/-/lemonldap-ng-conf-0.5.5.tgz,0.5.5,2020-10-07T08:20:55.282Z,True,GPL-2.0-or-later,lemonldap-ng-conf,['CNRI-Python-GPL-Compatible'],https://www.npmjs.com/package/lemonldap-ng-conf,NPM,8,https://github.com/LemonLDAPNG/node-lemonldap-ng-handler,6,None
None,Givaro - C++ library for arithmetic and algebraic computations,17,http://givaro.forge.imag.fr,"['arithmetic', 'polynomials']",C++,https://conda.anaconda.org/conda-forge/linux-64/givaro-4.1.1-h192cbe9_0.tar.bz2,4.1.1,2019-06-08T20:39:08.000Z,True,GPLv2+,givaro,['GPL-2.0+'],https://anaconda.org/conda-forge/givaro,Conda,12,https://github.com/linbox-team/givaro,35,None
None,This rubygem does not have a description or summary.,1,https://github.com/afimb/ievkit,[],Ruby,https://rubygems.org/downloads/ievkit-0.3.0.gem,0.3.0,2016-10-27T11:22:56.067Z,False,CECILL-B,ievkit,['CECILL-B'],https://rubygems.org/gems/ievkit,Rubygems,6,https://github.com/afimb/ievkit,1,None
None,LODEX transformers statements for EZS,1,https://github.com/Inist-CNRS/ezs/tree/master/packages/transformers#readme,['ezs'],JavaScript,https://registry.npmjs.org/@ezs/transformers/-/@ezs/transformers-1.3.8.tgz,1.3.8,2021-10-05T07:38:53.269Z,False,MIT,@ezs/transformers,['MIT'],https://www.npmjs.com/package/@ezs/transformers,NPM,10,https://github.com/Inist-CNRS/ezs,2,None
None,a jinja2 extension to access to system environment variables,1,https://github.com/metwork-framework/jinja2_shell_extension,"['jinja2', 'extension', 'autoreadme', 'integration-level-3', 'jinja2-extension']",Python,None,0.0.3,2020-01-31T15:54:12.000Z,True,BSD,jinja2-shell-extension,['BSD-3-Clause'],https://pypi.org/project/jinja2-shell-extension/,Pypi,7,https://github.com/metwork-framework/jinja2_shell_extension,0,None
None,Add a view to interact with sympa,0,https://github.com/unistra/django-sympa/,"['django', 'Université', 'de', 'Strasbourg', 'sympa', 'mail', 'users']",Python,None,0.1.1,2015-07-22T10:15:12.000Z,True,PSF,django-sympa,['Python-2.0'],https://pypi.org/project/django-sympa/,Pypi,6,https://github.com/unistra/django-sympa,1,None
None, NeoEMF core component. Specialize the standard EMF classes and provide abstract classes for dedicated back-end extensions. ,12,https://neoemf.atlanmod.org,"['eclipse-plugin', 'emf', 'large-models', 'persistence']",Java,https://repo1.maven.org/maven2/org/atlanmod/neoemf/neoemf-core/2.0.1/neoemf-core-2.0.1.jar,2.0.1,2020-10-12T10:45:16.000Z,True,Eclipse Public License v2.0,org.atlanmod.neoemf:neoemf-core,['EPL-2.0'],https://repo1.maven.org/maven2/org/atlanmod/neoemf/neoemf-core,Maven,10,https://github.com/atlanmod/NeoEMF,36,None
None,Confirm that the deployment of a consultation is valid,1,https://github.com/consultation-gouv/npm.verif.consultation#readme,"['mongodb', 'auth', 'authentication', 'email']",JavaScript,https://registry.npmjs.org/consultation-verification/-/consultation-verification-0.5.0.tgz,0.5.0,2017-04-07T14:16:12.374Z,False,ISC,consultation-verification,['ISC'],https://www.npmjs.com/package/consultation-verification,NPM,7,https://github.com/consultation-gouv/npm.verif.consultation,0,None
None,French Geoportal SDK based on OpenLayers (2D) and iTowns (3D) libraries,7,https://geoservices.ign.fr/documentation/utilisation_web/sdk.html,"['openlayers', 'itowns', 'geoportail', 'webservice', 'javascript', 'sdk', '3d', 'geoportal-access-lib', 'geoportal-extensions']",HTML,https://registry.npmjs.org/@ignf-geoportal/sdk-3d/-/@ignf-geoportal/sdk-3d-3.2.0.tgz,3.2.0,2021-08-03T17:00:58.999Z,False,CECILL-B,@ignf-geoportal/sdk-3d,['CECILL-B'],https://www.npmjs.com/package/@ignf-geoportal/sdk-3d,NPM,11,https://github.com/IGNF/geoportal-sdk,26,None
None,Python wrapper for Legifrance API,1,https://github.com/envinorma/leginorma,['leginorma'],Python,None,0.0.4,2021-08-17T13:10:18.000Z,True,MIT license,leginorma,['MIT'],https://pypi.org/project/leginorma/,Pypi,7,https://github.com/envinorma/leginorma,1,None
None,udata customizations for data.gouv.fr,35,https://github.com/etalab/udata-gouvfr,"['udata', 'opendata', 'portal', 'etalab', 'open-data', 'open-source', 'python', 'udata-gouvfr']",Python,None,3.1.0,2021-08-31T12:10:53.000Z,True,LGPL,udata-gouvfr,['Other'],https://pypi.org/project/udata-gouvfr/,Pypi,9,https://github.com/etalab/udata-gouvfr,24,None
None,This package is a part of Ilos framework.,0,https://github.com/betagouv/ilos#readme,"['node', 'typescript', 'microservice']",TypeScript,https://registry.npmjs.org/@ilos/logger/-/@ilos/logger-0.3.1.tgz,0.3.1,2019-07-26T14:02:18.832Z,False,Apache-2.0,@ilos/logger,['Apache-2.0'],https://www.npmjs.com/package/@ilos/logger,NPM,9,https://github.com/betagouv/ilos,5,None
None,Social Gouv default recommended eslint config,4,https://github.com/SocialGouv/linters/tree/master/packages/eslint-config-recommended#readme,"['eslint', 'linter', 'linters', 'react', 'tslint']",TypeScript,https://registry.npmjs.org/@socialgouv/eslint-config-recommended/-/@socialgouv/eslint-config-recommended-1.96.0.tgz,1.96.0,2021-10-15T03:38:56.527Z,False,Apache-2.0,@socialgouv/eslint-config-recommended,['Apache-2.0'],https://www.npmjs.com/package/@socialgouv/eslint-config-recommended,NPM,13,https://github.com/SocialGouv/linters,1,None
None,powerapi-core,15,http://www.powerapi.org/,"['akka', 'consumption', 'energy', 'hardware-counters', 'inria', 'intel-rapl', 'meters', 'power', 'powerapi', 'rapl', 'scala']",Scala,https://repo1.maven.org/maven2/org/powerapi/powerapi-core_2.12/4.2/powerapi-core_2.12-4.2.jar,None,None,False,AGPL-3.0,org.powerapi:powerapi-core_2.12,['AGPL-3.0'],https://repo1.maven.org/maven2/org/powerapi/powerapi-core_2.12,Maven,8,https://github.com/Spirals-Team/powerapi,69,None
None,Module de k-anonymisation,1,https://github.com/SGMAP-AGD/anonymisation,[],Python,None,0.0.6,2016-08-22T10:35:14.000Z,True,UNKNOWN,anonymizer,['Other'],https://pypi.org/project/anonymizer/,Pypi,8,https://github.com/SGMAP-AGD/anonymisation,6,None
None,JavaScript tools for the [Validation and Transformation Language](https://sdmx.org/?page_id=5096),4,,"['antlr', 'control', 'parsing', 'validation', 'vtl']",JavaScript,https://registry.npmjs.org/vtl-tools/-/vtl-tools-0.1.0.tgz,0.1.0,2019-08-30T09:14:16.271Z,False,MIT,vtl-tools,['MIT'],https://www.npmjs.com/package/vtl-tools,NPM,8,https://github.com/InseeFr/vtl-tools,4,None
None,ARK dedicated statements for EZS,1,https://github.com/Inist-CNRS/ezs/tree/master/packages/ark#readme,['ezs'],JavaScript,https://registry.npmjs.org/@ezs/ark/-/@ezs/ark-1.2.3.tgz,1.2.3,2021-10-05T07:38:15.124Z,False,MIT,@ezs/ark,['MIT'],https://www.npmjs.com/package/@ezs/ark,NPM,9,https://github.com/Inist-CNRS/ezs,2,None
None,MapDB extension of the core component.,12,https://neoemf.atlanmod.org,"['eclipse-plugin', 'emf', 'large-models', 'persistence']",Java,https://repo1.maven.org/maven2/org/atlanmod/neoemf/neoemf-data-mapdb/2.0.1/neoemf-data-mapdb-2.0.1.jar,2.0.1,2020-10-12T10:45:32.000Z,True,Eclipse Public License v2.0,org.atlanmod.neoemf:neoemf-data-mapdb,['EPL-2.0'],https://repo1.maven.org/maven2/org/atlanmod/neoemf/neoemf-data-mapdb,Maven,10,https://github.com/atlanmod/NeoEMF,36,None
None,Schéma au format [OpenAPI 3.0](http://spec.openapis.org/oas/v3.0.3),3,https://github.com/SocialGouv/covid19-tests-schemas#readme,[],Shell,https://registry.npmjs.org/@socialgouv/covid19-tests-schemas/-/@socialgouv/covid19-tests-schemas-3.0.2.tgz,3.0.2,2021-02-17T11:48:22.496Z,False,Apache-2.0,@socialgouv/covid19-tests-schemas,['Apache-2.0'],https://www.npmjs.com/package/@socialgouv/covid19-tests-schemas,NPM,9,https://github.com/SocialGouv/covid19-tests-schemas,1,None
None,A React implementation of the french government design system.,3,https://github.com/dataesr/react-dsfr#readme,"['react', 'components', 'design-system', 'gouvfr', 'component-library', 'javascript', 'styleguide']",JavaScript,https://registry.npmjs.org/@dataesr/react-dsfr/-/@dataesr/react-dsfr-0.6.7.tgz,0.6.7,2021-10-20T07:37:22.347Z,False,MIT,@dataesr/react-dsfr,['MIT'],https://www.npmjs.com/package/@dataesr/react-dsfr,NPM,10,https://github.com/dataesr/react-dsfr,8,None
None,OpenEdition Checklist,1,https://github.com/OpenEdition/checklist#readme,"['openedition', 'checklist', 'screlo', 'revues.org', 'journals', 'books']",JavaScript,https://registry.npmjs.org/@openedition/checklist/-/@openedition/checklist-2.0.1.tgz,2.0.1,2021-10-19T10:20:09.833Z,False,GPL-3.0,@openedition/checklist,['GPL-3.0'],https://www.npmjs.com/package/@openedition/checklist,NPM,9,https://github.com/OpenEdition/checklist,1,None
None,BerkeleyDB extension of the core component.,12,https://neoemf.atlanmod.org,"['eclipse-plugin', 'emf', 'large-models', 'persistence']",Java,https://repo1.maven.org/maven2/org/atlanmod/neoemf/neoemf-data-berkeleydb/2.0.1/neoemf-data-berkeleydb-2.0.1.jar,2.0.1,2020-10-12T10:44:50.000Z,True,Eclipse Public License v2.0,org.atlanmod.neoemf:neoemf-data-berkeleydb,['EPL-2.0'],https://repo1.maven.org/maven2/org/atlanmod/neoemf/neoemf-data-berkeleydb,Maven,10,https://github.com/atlanmod/NeoEMF,36,None
None,French postal codes API for Node.js,3,https://github.com/etalab/codes-postaux,"['france', 'codes postaux', 'open data', 'postal code', 'French']",JavaScript,https://registry.npmjs.org/codes-postaux/-/codes-postaux-3.3.0.tgz,3.3.0,2019-07-18T22:40:37.234Z,False,MIT,codes-postaux,['MIT'],https://www.npmjs.com/package/codes-postaux,NPM,12,https://github.com/etalab/codes-postaux,33,None
None,Visual components,1,None,[],JavaScript,https://registry.npmjs.org/@inseefr/wilco/-/@inseefr/wilco-1.1.1.tgz,1.1.1,2020-11-26T07:17:54.970Z,False,MIT,@inseefr/wilco,['MIT'],https://www.npmjs.com/package/@inseefr/wilco,NPM,6,https://github.com/InseeFr/wilco,1,None
