deprecation_reason,description,forks,homepage,keywords,language,latest_download_url,latest_stable_release_number,latest_stable_release_published_at,license_normalized,licenses,name,normalized_licenses,package_manager_url,platform,rank,repository_url,stars,status
None, Parent project for Map-based database implementations of the core component. ,12,www.neoemf.com,"['eclipse-plugin', 'emf', 'large-models', 'persistence']",Java,https://repo1.maven.org/maven2/fr/inria/atlanmod/neoemf/neoemf-data-map/1.0.2/neoemf-data-map-1.0.2.jar,1.0.2,2017-06-06T00:00:00.000Z,True,Eclipse Public License - v 1.0,fr.inria.atlanmod.neoemf:neoemf-data-map,['EPL-1.0'],https://repo1.maven.org/maven2/fr/inria/atlanmod/neoemf/neoemf-data-map,Maven,11,https://github.com/atlanmod/NeoEMF,36,None
None,Curve25519 Parser - DER/PEM parser for OpenSSL Ed25519 / X25519 keys,11,https://github.com/ANSSI-FR/MLA,[],Rust,https://crates.io/api/v1/crates/curve25519-parser/0.2.0/download,0.2.0,2020-09-14T10:10:31.351Z,False,LGPL-3.0-only,curve25519-parser,['LGPL-3.0-only'],https://crates.io/crates/curve25519-parser/,Cargo,9,https://github.com/ANSSI-FR/MLA,219,None
None,Open data portal,78,https://github.com/opendatateam/udata,"['udata', 'opendata', 'portal', 'data', 'flask', 'flask-restplus', 'python', 'vue', 'vuejs']",Python,None,3.2.0,2021-09-14T16:41:59.000Z,True,GNU AGPLv3+,udata,['GPL-3.0'],https://pypi.org/project/udata/,Pypi,13,https://github.com/opendatateam/udata,189,None
None,Kosko charts for the SocialGouv needs,2,https://github.com/SocialGouv/kosko-charts#readme,"['kosko-charts', 'kubernetes', 'typescript']",TypeScript,https://registry.npmjs.org/@socialgouv/kosko-charts/-/@socialgouv/kosko-charts-10.0.0-alpha.7.tgz,9.6.12,2021-10-14T21:40:55.282Z,False,Apache-2.0,@socialgouv/kosko-charts,['Apache-2.0'],https://www.npmjs.com/package/@socialgouv/kosko-charts,NPM,10,https://github.com/SocialGouv/kosko-charts,2,None
None,Définition Typescript du module hornet-js-core,6,https://github.com/diplomatiegouvfr/hornet-js#readme,[],TypeScript,https://registry.npmjs.org/hornet-js-react-components-dts/-/hornet-js-react-components-dts-5.3.0.tgz,5.3.0,2019-03-28T07:05:38.990Z,False,CECILL-2.1,hornet-js-react-components-dts,['CECILL-2.1'],https://www.npmjs.com/package/hornet-js-react-components-dts,NPM,10,https://github.com/diplomatiegouvfr/hornet-js,16,None
None,An implementation of the generalized merged distance to evaluate entity resolution,0,https://github.com/entrepreneur-interet-general/entity-resolution-evaluation,[],Python,None,0.0.2,2018-10-24T13:31:48.000Z,True,MIT License,entity-resolution-evaluation,['MIT'],https://pypi.org/project/entity-resolution-evaluation/,Pypi,7,https://github.com/entrepreneur-interet-general/entity-resolution-evaluation,2,None
None,"Jours fériés en France, en métropole et en outre-mer.",2,https://github.com/etalab/jours-feries-france,"['bank-holidays', 'jours-feries', 'france', 'eig-2018', 'entrepreneur-interet-general', 'predisauvetage', 'python']",Python,None,0.7.0,2020-05-15T14:09:17.000Z,False,MIT,jours-feries-france,['MIT'],https://pypi.org/project/jours-feries-france/,Pypi,7,https://github.com/etalab/jours-feries-france,13,None
None,A wrapper to build Stream transformers with functional style,1,https://github.com/Inist-CNRS/ezs/tree/master/packages/core#readme,"['stream', 'transformer']",JavaScript,https://registry.npmjs.org/@ezs/core/-/@ezs/core-1.26.0.tgz,1.26.0,2021-10-03T17:09:04.517Z,False,MIT,@ezs/core,['MIT'],https://www.npmjs.com/package/@ezs/core,NPM,12,https://github.com/Inist-CNRS/ezs,2,None
None,bootstrapslider,5,https://github.com/mathieuleclaire/scaladget,[],CSS,https://repo1.maven.org/maven2/fr/iscpif/scaladget/bootstrapslider_sjs0.6_2.12/1.2.7/bootstrapslider_sjs0.6_2.12-1.2.7.jar,1.2.7,2019-06-03T00:00:00.000Z,True,Affero GPLv3,fr.iscpif.scaladget:bootstrapslider_sjs0.6_2.12,['AGPL-1.0'],https://repo1.maven.org/maven2/fr/iscpif/scaladget/bootstrapslider_sjs0.6_2.12,Maven,10,https://github.com/mathieuleclaire/scaladget,42,None
None,Tools for PCAP/PCAPNG files,0,https://github.com/rusticata/pcap-tools,[],Rust,https://crates.io/api/v1/crates/pcap-tools/0.2.0/download,0.2.0,2019-08-04T10:55:40.604Z,False,MIT/Apache-2.0,pcap-tools,"['MIT', 'Apache-2.0']",https://crates.io/crates/pcap-tools/,Cargo,7,https://github.com/rusticata/pcap-tools,0,None
