nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
ansible-laclasse-suiviperso,erasme,GitHub,https://github.com/erasme/ansible-laclasse-suiviperso,Laclasse suivi-perso Ansible role,False,2015-06-24T04:52:42Z,2015-06-24T04:54:11Z,,0,0,,0,Shell,
ansible-laclasse-adminpanel,erasme,GitHub,https://github.com/erasme/ansible-laclasse-adminpanel,Adminpanel laclasse ansible role,False,2015-07-07T07:25:08Z,2015-08-11T12:00:45Z,,0,0,,0,Shell,
ansible-laclasse-backend,erasme,GitHub,https://github.com/erasme/ansible-laclasse-backend,Ansible role for loadbalancer backend application deployment,False,2015-08-11T12:29:18Z,2015-08-11T12:29:53Z,,0,0,,0,,
ansible-laclasse-frontend,erasme,GitHub,https://github.com/erasme/ansible-laclasse-frontend,Ansible role for front end deployment,False,2015-08-11T12:30:17Z,2015-08-11T12:31:28Z,,0,0,,0,Shell,
ansible-memcached,erasme,GitHub,https://github.com/erasme/ansible-memcached,Memcached basic ansible role,False,2015-08-11T12:33:43Z,2015-08-11T12:33:52Z,,0,1,,0,Shell,
ansible-laclasse-publipostage,erasme,GitHub,https://github.com/erasme/ansible-laclasse-publipostage,Publipostage ansible playbook,False,2015-08-25T16:37:15Z,2015-08-25T16:37:49Z,,0,0,,0,Shell,
ansible-mysql,erasme,GitHub,https://github.com/erasme/ansible-mysql,Basic mysql ansible role,False,2015-08-26T08:29:53Z,2015-08-26T08:30:45Z,,0,0,,0,Shell,
ansible-mysql-client,erasme,GitHub,https://github.com/erasme/ansible-mysql-client,Ansible mysql client libraries role,False,2015-08-26T08:32:37Z,2015-08-26T08:32:50Z,,0,0,,0,Shell,
ansible-interfaces,erasme,GitHub,https://github.com/erasme/ansible-interfaces,Minimalist debian-style interface Ansible role,True,2015-08-26T09:15:08Z,2015-08-26T09:15:08Z,,0,0,,0,Shell,
ansible-sshd,erasme,GitHub,https://github.com/erasme/ansible-sshd,Ansible sshd role,True,2015-08-26T10:15:04Z,2015-07-22T16:05:30Z,,0,0,,0,,
ansible-tmux,erasme,GitHub,https://github.com/erasme/ansible-tmux,Simple tmux ansible role,False,2015-10-21T14:10:41Z,2015-10-21T14:11:20Z,,0,2,,0,Shell,
erats,erasme,GitHub,https://github.com/erasme/erats,TypeScript library to write web app,False,2017-11-06T12:36:13Z,2019-05-10T12:02:50Z,,1,2,MIT License,0,JavaScript,
carto,erasme,GitHub,https://github.com/erasme/carto,Cartographie des projets dynamique,False,2018-05-15T14:34:47Z,2018-10-30T10:56:48Z,,1,0,GNU Affero General Public License v3.0,0,CSS,
flipdots,erasme,GitHub,https://github.com/erasme/flipdots,Système de pilotage de panneaux flip-dots,False,2018-06-15T09:16:24Z,2018-06-18T13:08:14Z,,0,1,MIT License,0,JavaScript,
cuisine_collective,erasme,GitHub,https://github.com/erasme/cuisine_collective,,False,2018-07-27T09:50:33Z,2018-12-11T13:02:59Z,,0,0,,0,TypeScript,
liste_courses,erasme,GitHub,https://github.com/erasme/liste_courses,,False,2018-08-06T07:54:08Z,2018-09-11T14:20:42Z,,0,0,,0,JavaScript,
