nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics,software_heritage_exists,software_heritage_url
frontend,PrefectureDePolice,GitHub,https://github.com/PrefectureDePolice/frontend,,True,2016-09-07T14:30:03Z,2016-09-07T14:30:04Z,,0,0,,0,HTML,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/PrefectureDePolice/frontend/directory/
backend,PrefectureDePolice,GitHub,https://github.com/PrefectureDePolice/backend,code behind api.openeventdatabase.org,True,2016-09-07T14:30:35Z,2016-09-07T14:30:36Z,,0,1,GNU Affero General Public License v3.0,0,Python,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/PrefectureDePolice/backend/directory/
SmartPhone,PrefectureDePolice,GitHub,https://github.com/PrefectureDePolice/SmartPhone,Applications smartphones utilisant l'API Alerte,False,2016-09-07T14:31:39Z,2016-09-07T14:31:39Z,,0,0,,0,,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/PrefectureDePolice/SmartPhone/directory/
Pref.Police,PrefectureDePolice,GitHub,https://github.com/PrefectureDePolice/Pref.Police,Application mobile Préf. Police,False,2016-11-14T09:48:31Z,2016-11-14T10:02:17Z,,0,0,Other,0,,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/PrefectureDePolice/Pref.Police/directory/
openlogo,PrefectureDePolice,GitHub,https://github.com/PrefectureDePolice/openlogo,Veille technologique sur les domaines ouverts,False,2016-11-17T12:08:53Z,2017-02-22T15:44:38Z,,2,4,,1,,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/PrefectureDePolice/openlogo/directory/
Hydre,PrefectureDePolice,GitHub,https://github.com/PrefectureDePolice/Hydre,Free opensource adress finder (no data provided),False,2016-11-28T19:06:46Z,2016-12-13T09:19:22Z,,0,1,Other,0,Java,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/PrefectureDePolice/Hydre/directory/
neoloc,PrefectureDePolice,GitHub,https://github.com/PrefectureDePolice/neoloc,,False,2017-01-20T16:43:06Z,2017-02-09T14:54:12Z,,0,2,,0,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/PrefectureDePolice/neoloc/directory/
heLP,PrefectureDePolice,GitHub,https://github.com/PrefectureDePolice/heLP,,False,2017-06-29T12:44:44Z,2017-07-05T13:41:38Z,,0,2,,0,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/PrefectureDePolice/heLP/directory/
bench_leaflet,PrefectureDePolice,GitHub,https://github.com/PrefectureDePolice/bench_leaflet,Tests de performance autour des api leaflet,False,2017-09-25T08:26:09Z,2017-09-26T08:01:32Z,,0,1,,0,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/PrefectureDePolice/bench_leaflet/directory/
demiNEO,PrefectureDePolice,GitHub,https://github.com/PrefectureDePolice/demiNEO,Suivi des missions des démineurs du LCPP en mobilité,False,2017-09-25T08:28:20Z,2017-09-26T08:01:09Z,,0,2,,0,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/PrefectureDePolice/demiNEO/directory/
scan_frontapk,PrefectureDePolice,GitHub,https://github.com/PrefectureDePolice/scan_frontapk,,False,2017-12-11T16:44:08Z,2018-07-11T19:32:15Z,,2,3,,1,Java,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/PrefectureDePolice/scan_frontapk/directory/
scan_backoffice,PrefectureDePolice,GitHub,https://github.com/PrefectureDePolice/scan_backoffice,,False,2017-12-11T16:44:43Z,2018-04-19T19:04:28Z,,1,1,,0,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/PrefectureDePolice/scan_backoffice/directory/
balNEO,PrefectureDePolice,GitHub,https://github.com/PrefectureDePolice/balNEO,Verbalisation de la baignade en Seine à Paris en mobilité,False,2018-04-11T11:53:02Z,2018-06-26T13:16:12Z,,1,2,,0,TypeScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/PrefectureDePolice/balNEO/directory/
NEOfil,PrefectureDePolice,GitHub,https://github.com/PrefectureDePolice/NEOfil,Information descendante vers les détenteurs de NEO,False,2018-08-02T09:57:00Z,2018-08-02T09:57:57Z,,0,1,,1,,,False,
