nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
pop,betagouv,GitHub,https://github.com/betagouv/pop,Plateforme Ouverte du Patrimoine,False,2019-01-07T09:31:05Z,2019-04-25T10:21:32Z,https://pop.culture.gouv.fr/,4,2,MIT License,5,JavaScript,"betagouv,culture"
redux-react-modals,betagouv,GitHub,https://github.com/betagouv/redux-react-modals,React lib displaying a layer of modals through redux actions,False,2019-02-04T13:37:57Z,2019-03-01T23:01:27Z,,0,0,MIT License,0,JavaScript,
with-query-router,betagouv,GitHub,https://github.com/betagouv/with-query-router,A small wrapper of react-router parsing the query params from the location.search,False,2019-02-04T16:22:48Z,2019-04-10T09:34:54Z,,0,0,MIT License,0,JavaScript,
with-login,betagouv,GitHub,https://github.com/betagouv/with-login,React hoc component for rendering page only on user log success. It uses redux request data as implicit helper.,False,2019-02-04T16:38:06Z,2019-04-12T15:54:57Z,,0,0,MIT License,0,JavaScript,
preuve-covoiturage-doc,betagouv,GitHub,https://github.com/betagouv/preuve-covoiturage-doc,Documentation gitbook,False,2019-02-06T10:02:17Z,2019-04-18T09:40:52Z,,2,0,GNU Affero General Public License v3.0,0,,"covoiturage,documentation"
react-final-form-utils,betagouv,GitHub,https://github.com/betagouv/react-final-form-utils,"Decorators, validators and string helpers for classic email, password, loading fields in a react final form",False,2019-02-06T14:31:20Z,2019-04-24T21:14:56Z,,1,0,MIT License,0,JavaScript,
redux-saga-data,betagouv,GitHub,https://github.com/betagouv/redux-saga-data,A lib for fetching normalized data in a redux store through sagas,False,2019-02-06T23:49:28Z,2019-04-12T15:40:13Z,,0,0,MIT License,0,JavaScript,
la-sass-vy,betagouv,GitHub,https://github.com/betagouv/la-sass-vy,A very very lightweight sass utility,False,2019-02-07T15:59:05Z,2019-03-02T10:59:43Z,,0,0,MIT License,0,CSS,
monstage,betagouv,GitHub,https://github.com/betagouv/monstage,,False,2019-02-08T16:41:12Z,2019-04-25T14:09:29Z,,1,0,,0,Ruby,
mdph-redirect,betagouv,GitHub,https://github.com/betagouv/mdph-redirect,Redirection de mdph.beta.gouv.fr vers https://mdphenligne.cnsa.fr/,False,2019-02-21T10:53:39Z,2019-02-21T11:17:10Z,,0,0,,0,Ruby,
competences-pro-serveur,betagouv,GitHub,https://github.com/betagouv/competences-pro-serveur,Serveur et espace d'aministration pour Compétences pro,False,2019-02-27T10:35:38Z,2019-04-23T13:24:36Z,,0,0,GNU Affero General Public License v3.0,1,Ruby,
react-loading-infinite-scroller,betagouv,GitHub,https://github.com/betagouv/react-loading-infinite-scroller,Wrapper of react-infinite-scroller to shape better with a loading request list rendering,False,2019-02-27T12:56:39Z,2019-04-12T12:18:15Z,,0,0,MIT License,0,JavaScript,
competences-pro-orchestrateur,betagouv,GitHub,https://github.com/betagouv/competences-pro-orchestrateur,Scripts de déploiement pour le client et le serveur « Compétences pro »,False,2019-03-04T14:18:31Z,2019-03-26T09:08:22Z,,0,0,GNU Affero General Public License v3.0,1,Shell,
normalized-data-state,betagouv,GitHub,https://github.com/betagouv/normalized-data-state,A simple lib to obtain a state of normalized data,False,2019-03-08T11:05:25Z,2019-03-11T16:18:55Z,,0,0,MIT License,0,JavaScript,
leximpact,betagouv,GitHub,https://github.com/betagouv/leximpact,https://entrepreneur-interet-general.etalab.gouv.fr/defis/2019/leximpact.html,False,2019-03-15T15:19:38Z,2019-04-24T18:15:15Z,,4,0,GNU Affero General Public License v3.0,1,Python,
trait-d-union,betagouv,GitHub,https://github.com/betagouv/trait-d-union,Trait d'union : le chemin le plus court de la formation à l'emploi,False,2019-03-25T15:49:20Z,2019-04-18T15:23:14Z,,1,0,,0,HTML,
dossiersco-openlab1,betagouv,GitHub,https://github.com/betagouv/dossiersco-openlab1,Support pour openlab du 29 mars 2019,False,2019-03-28T15:23:35Z,2019-03-29T08:04:41Z,,0,0,MIT License,0,JavaScript,
publicodes,betagouv,GitHub,https://github.com/betagouv/publicodes,,False,2019-04-02T11:51:44Z,2019-04-02T11:53:55Z,,0,0,MIT License,0,,
compta,betagouv,GitHub,https://github.com/betagouv/compta,,False,2019-04-04T17:10:06Z,2019-04-19T07:42:48Z,,0,0,,0,Python,
react-reducer-effect-context-data,betagouv,GitHub,https://github.com/betagouv/react-reducer-effect-context-data,,False,2019-04-04T23:34:04Z,2019-04-05T19:41:44Z,,0,0,MIT License,0,JavaScript,
react-hook-data,betagouv,GitHub,https://github.com/betagouv/react-hook-data,A lib for fetching normalized data in components through react hooks,False,2019-04-06T16:17:45Z,2019-04-11T19:46:11Z,,0,0,MIT License,0,JavaScript,
redux-thunk-data,betagouv,GitHub,https://github.com/betagouv/redux-thunk-data,A lib for fetching normalized data in a redux store through thunk,False,2019-04-06T16:19:23Z,2019-04-11T16:04:32Z,,0,0,,0,JavaScript,
fetch-normalize-data,betagouv,GitHub,https://github.com/betagouv/fetch-normalize-data,A library to obtain a state of normalized data. Special fetch and reducer helpers are also provided in the export.,False,2019-04-06T16:47:34Z,2019-04-12T15:37:23Z,,0,0,MIT License,0,JavaScript,
AidantConnect,betagouv,GitHub,https://github.com/betagouv/AidantConnect,,False,2019-04-08T12:02:11Z,2019-04-25T14:54:46Z,,0,1,,4,Python,
voir-et-localiser-samu-sign-on,betagouv,GitHub,https://github.com/betagouv/voir-et-localiser-samu-sign-on,Brique externe d'authentification,False,2019-04-10T05:16:43Z,2019-04-25T13:08:18Z,,0,0,,8,JavaScript,
blog.dossiersco.fr,betagouv,GitHub,https://github.com/betagouv/blog.dossiersco.fr,Toute l'actualité de DossierSCO,False,2019-04-11T10:00:08Z,2019-04-25T13:41:29Z,,0,1,MIT License,0,HTML,
with-react-redux-login,betagouv,GitHub,https://github.com/betagouv/with-react-redux-login,,False,2019-04-12T14:23:51Z,2019-04-23T14:47:54Z,,0,0,MIT License,0,JavaScript,
with-react-login,betagouv,GitHub,https://github.com/betagouv/with-react-login,React hoc component for rendering page only on user log success. It uses redux request data as implicit helper.,False,2019-04-12T15:45:44Z,2019-04-22T17:00:15Z,,0,0,MIT License,0,JavaScript,
react-elasticsearch,betagouv,GitHub,https://github.com/betagouv/react-elasticsearch,🛁 React + Elasticsearch - Opinionated yet customizable UI components for building data-driven search experiences [WIP],False,2019-04-19T09:54:22Z,2019-04-25T13:20:44Z,,2,0,MIT License,8,JavaScript,"components,elasticsearch,library,react,ui"
pass-culture-web-analytics,betagouv,GitHub,https://github.com/betagouv/pass-culture-web-analytics,Web analytics for pass culture apps using Matomo,False,2019-04-24T14:20:00Z,2019-04-25T14:39:40Z,,0,0,GNU General Public License v3.0,0,PHP,
leximpact-client,betagouv,GitHub,https://github.com/betagouv/leximpact-client,Simuler l'impact des réformes socio-fiscales en moins d'une minute,False,2019-04-25T00:49:19Z,2019-04-25T01:09:55Z,,1,0,GNU Affero General Public License v3.0,0,JavaScript,
pass-culture-publi-mailing,betagouv,GitHub,https://github.com/betagouv/pass-culture-publi-mailing,outils de publi-mailing pour les chargé de développement du pass Culture,False,2019-04-25T11:30:12Z,2019-04-25T13:46:22Z,,0,0,,0,Python,
