nom,organisation_nom,plateforme,repertoire_url,description,est_fork,est_archive,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics,software_heritage_exists,software_heritage_url
TorPylle,cea-sec,GitHub,https://github.com/cea-sec/TorPylle,A Python / Scapy implementation of the OR (TOR) protocol.,False,False,2013-07-23T11:38:39Z,2019-08-17T17:43:31Z,,76,18,GNU General Public License v2.0,0,Python,"network-analysis,network-protocol,network-protocols,network-security,protocol,python,scapy,tor",True,https://archive.softwareheritage.org/browse/origin/https://github.com/cea-sec/TorPylle/directory/
Sibyl,cea-sec,GitHub,https://github.com/cea-sec/Sibyl,A Miasm2 based function divination.,False,False,2014-09-05T16:26:33Z,2019-08-04T09:11:01Z,,397,44,GNU General Public License v3.0,4,Python,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/cea-sec/Sibyl/directory/
ivre,cea-sec,GitHub,https://github.com/cea-sec/ivre,Network recon framework.,False,False,2014-09-12T13:34:56Z,2019-08-19T08:11:47Z,https://ivre.rocks/,1559,429,GNU General Public License v3.0,27,Python,"bro,masscan,network,network-analysis,network-discovery,network-monitoring,network-security,network-security-monitoring,network-visualization,nmap,nmap-analyzer,nmap-parser,nmap-results-analyse,nmap-scripts,python,scan-ports,scans,security,zeek",True,https://archive.softwareheritage.org/browse/origin/https://github.com/cea-sec/ivre/directory/
miasm,cea-sec,GitHub,https://github.com/cea-sec/miasm,Reverse engineering framework in Python,False,False,2014-10-28T15:05:47Z,2019-08-19T10:00:09Z,https://miasm.re/,1825,308,GNU General Public License v2.0,89,Python,"assembler,disassembler,emulator,intermediate-representation,python,reverse-engineering,symbolic-execution",True,https://archive.softwareheritage.org/browse/origin/https://github.com/cea-sec/miasm/directory/
hairgap,cea-sec,GitHub,https://github.com/cea-sec/hairgap,A set of tools to transfer data over a unidirectional network link (typically a network diode).,False,False,2017-04-02T21:19:34Z,2019-08-10T06:26:25Z,,26,8,GNU General Public License v3.0,0,C,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/cea-sec/hairgap/directory/
miasm-extended-tests,cea-sec,GitHub,https://github.com/cea-sec/miasm-extended-tests, Extended tests for Miasm,False,False,2019-06-13T14:38:13Z,2019-06-13T14:39:14Z,,0,1,,0,Shell,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/cea-sec/miasm-extended-tests/directory/
