nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
micmac,micmacIGN,GitHub,https://github.com/micmacIGN/micmac,Free open-source photogrammetry software tools,False,2016-11-24T22:09:54Z,2019-05-16T08:18:13Z,http://micmac.ensg.eu,184,63,Other,41,C++,
Documentation,micmacIGN,GitHub,https://github.com/micmacIGN/Documentation,,False,2016-11-25T09:58:29Z,2019-04-28T15:44:20Z,,9,8,,0,TeX,
Papers,micmacIGN,GitHub,https://github.com/micmacIGN/Papers,,False,2016-11-25T09:59:01Z,2018-11-08T11:28:19Z,,4,3,,0,TeX,
interface,micmacIGN,GitHub,https://github.com/micmacIGN/interface,,False,2016-12-06T13:09:03Z,2016-12-06T13:09:03Z,,0,0,,0,,
InterfaceCEREMA,micmacIGN,GitHub,https://github.com/micmacIGN/InterfaceCEREMA,import from https://geoportail.forge.ign.fr/hg/culture3d,False,2016-12-07T09:36:46Z,2019-05-12T22:30:28Z,,9,5,,2,Python,
