nom,organisation_nom,plateforme,repertoire_url,description,est_fork,est_archive,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics,software_heritage_exists,software_heritage_url
pkgi,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/pkgi,Pkgi permet la création d'environnements applicatifs indépendants et mutualisés sous Debian.,False,True,2011-12-11T19:44:37Z,2017-11-09T19:27:05Z,http://www.pkgi.net,5,4,,2,PHP,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/Inist-CNRS/pkgi/directory/
node-sphinxapi,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-sphinxapi,Native javascript implementation of the standard Sphinx API,False,True,2012-03-21T21:37:46Z,2019-08-04T11:11:21Z,https://www.npmjs.com/package/sphinxapi,76,21,Other,12,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/Inist-CNRS/node-sphinxapi/directory/
node-xml-writer,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-xml-writer,Javascript implementation of the classic XMLWriter class,False,False,2012-03-27T19:34:41Z,2019-07-12T03:27:31Z,,55,23,Other,9,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/Inist-CNRS/node-xml-writer/directory/
node-xml-mapping,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-xml-mapping,Node Module to convert Memory structure to XML and vice versa,False,False,2012-03-27T19:35:25Z,2019-08-13T14:59:36Z,,39,16,Other,5,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/Inist-CNRS/node-xml-mapping/directory/
node-xml-splitter,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-xml-splitter,,False,False,2012-04-27T21:21:05Z,2017-09-05T10:18:52Z,,9,5,Other,2,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/Inist-CNRS/node-xml-splitter/directory/
node-atom-writer,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-atom-writer,,False,False,2012-06-27T07:46:30Z,2015-10-28T15:30:22Z,,6,3,Other,2,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/Inist-CNRS/node-atom-writer/directory/
node-json-writer,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-json-writer,,False,False,2012-07-03T07:01:25Z,2015-10-28T15:14:13Z,,1,1,Other,0,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/Inist-CNRS/node-json-writer/directory/
node-xml2json-command,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-xml2json-command,"Convert an XML input to a JSON output, using xml-mapping",False,False,2012-11-15T15:39:07Z,2019-08-13T15:11:49Z,,151,10,,4,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/Inist-CNRS/node-xml2json-command/directory/
node-csv-string,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-csv-string,CSV Strings & Streams for Javascript since 2012,False,False,2013-01-11T15:06:07Z,2019-06-26T19:31:48Z,,47,16,Other,2,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/Inist-CNRS/node-csv-string/directory/
node-formatik,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-formatik,To validate associative arrays,False,False,2013-03-20T09:22:49Z,2015-10-28T15:29:06Z,,3,0,Other,0,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/Inist-CNRS/node-formatik/directory/
