nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,homepage,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
camino-api,MTES-MCT,GitHub,https://github.com/MTES-MCT/camino-api,"API de Camino, le cadastre minier numérique ouvert",False,2018-04-26T17:04:44Z,2018-12-19T17:03:16Z,http://api.camino.beta.gouv.fr,1,3,GNU Affero General Public License v3.0,0,JavaScript,"docker,express-graphql,expressjs,graphql,knexjs,objectionjs,postgresql"
secmar-documentation,MTES-MCT,GitHub,https://github.com/MTES-MCT/secmar-documentation,Documentation du jeu de données open data SECMAR (version grand public),False,2018-05-22T15:22:42Z,2018-12-28T09:33:38Z,https://mtes-mct.github.io/secmar-documentation/,1,0,MIT License,0,HTML,"datagouvfr,direction-affaires-maritimes,documentation,eig-2018,entrepreneur-interet-general,mtes,opendata,predisauvetage,secmar"
camino-flux,MTES-MCT,GitHub,https://github.com/MTES-MCT/camino-flux,,False,2018-06-01T09:53:58Z,2018-11-29T16:48:07Z,,0,0,,0,JavaScript,
camino-imports-geojson,MTES-MCT,GitHub,https://github.com/MTES-MCT/camino-imports-geojson,,False,2018-06-01T10:04:31Z,2018-08-20T14:51:54Z,,0,0,,0,JavaScript,
camino-ui,MTES-MCT,GitHub,https://github.com/MTES-MCT/camino-ui,"Interface web de Camino, le cadastre minier numérique ouvert",False,2018-06-01T15:57:19Z,2018-12-14T19:49:29Z,http://camino.beta.gouv.fr,2,2,GNU Affero General Public License v3.0,3,Vue,"apollo-client,babel,docker,graphql,leafletjs,postcss,vuejs,vuex"
parcours-r,MTES-MCT,GitHub,https://github.com/MTES-MCT/parcours-r,Valise pédagogique pour la formation à R,False,2018-06-13T07:23:35Z,2018-10-06T08:18:55Z,,8,1,,0,HTML,"data,r,shiny,statistics"
camino-imports-postgres,MTES-MCT,GitHub,https://github.com/MTES-MCT/camino-imports-postgres,,False,2018-06-14T09:05:56Z,2018-06-14T09:07:21Z,,0,0,,0,JavaScript,
secmar-data,MTES-MCT,GitHub,https://github.com/MTES-MCT/secmar-data,Jeux de données pour la base de données SECMAR disponible en open data,False,2018-06-28T12:05:56Z,2018-11-13T13:09:20Z,https://www.data.gouv.fr/fr/datasets/operations-coordonnees-par-les-cross/,1,0,Other,0,,"datagouvfr,direction-affaires-maritimes,eig-2018,entrepreneur-interet-general,mtes,opendata,predisauvetage,secmar"
camino-imports-spreadsheets,MTES-MCT,GitHub,https://github.com/MTES-MCT/camino-imports-spreadsheets,,False,2018-07-05T07:36:09Z,2018-08-17T17:46:10Z,,0,0,,0,JavaScript,
choisir-une-licence,MTES-MCT,GitHub,https://github.com/MTES-MCT/choisir-une-licence,,False,2018-07-17T09:43:52Z,2018-07-17T09:44:31Z,,0,0,,1,,
