nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics,software_heritage_exists,software_heritage_url
labonneboite,StartupsPoleEmploi,GitHub,https://github.com/StartupsPoleEmploi/labonneboite,La Bonne Boite - https://labonneboite.pole-emploi.fr/,False,2017-08-24T09:49:19Z,2019-07-30T14:29:54Z,,29,4,GNU Affero General Public License v3.0,11,TSQL,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/StartupsPoleEmploi/labonneboite/directory/
qpvzrr,StartupsPoleEmploi,GitHub,https://github.com/StartupsPoleEmploi/qpvzrr,,False,2017-11-22T10:24:02Z,2018-05-15T09:19:38Z,,0,0,MIT License,0,JavaScript,,False,
clara,StartupsPoleEmploi,GitHub,https://github.com/StartupsPoleEmploi/clara,Clarification des aides liées au retour à l'activité,False,2018-02-22T10:22:19Z,2019-07-30T16:35:32Z,https://clara.pole-emploi.fr,1,1,GNU Affero General Public License v3.0,7,Ruby,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/StartupsPoleEmploi/clara/directory/
avril,StartupsPoleEmploi,GitHub,https://github.com/StartupsPoleEmploi/avril,Startup Avril,False,2018-02-26T09:29:34Z,2019-07-25T16:07:53Z,https://avril.pole-emploi.fr,3,0,GNU General Public License v3.0,2,Elixir,"pole-emploi,vae,validation-acquis-experience",True,https://archive.softwareheritage.org/browse/origin/https://github.com/StartupsPoleEmploi/avril/directory/
labonnealternance,StartupsPoleEmploi,GitHub,https://github.com/StartupsPoleEmploi/labonnealternance,La Bonne Alternance : Ciblez les entreprises qui recrutent en Alternance.,False,2018-03-19T09:55:12Z,2019-08-01T12:04:18Z,,1,0,GNU Affero General Public License v3.0,5,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/StartupsPoleEmploi/labonnealternance/directory/
memo,StartupsPoleEmploi,GitHub,https://github.com/StartupsPoleEmploi/memo,Application dashboard in french,False,2018-04-25T10:03:47Z,2019-07-25T08:36:27Z,https://memo.pole-emploi.fr,4,3,GNU Affero General Public License v3.0,0,JavaScript,"dashboard,jquery,spa",True,https://archive.softwareheritage.org/browse/origin/https://github.com/StartupsPoleEmploi/memo/directory/
zen,StartupsPoleEmploi,GitHub,https://github.com/StartupsPoleEmploi/zen,L'actualisation Pôle emploi en toute simplicité.,False,2018-05-03T12:17:39Z,2019-08-01T14:38:09Z,https://zen.pole-emploi.fr,2,0,GNU Affero General Public License v3.0,5,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/StartupsPoleEmploi/zen/directory/
perspectives,StartupsPoleEmploi,GitHub,https://github.com/StartupsPoleEmploi/perspectives,Méthode de recrutement par simulation,False,2018-05-22T12:44:43Z,2019-08-01T15:32:06Z,,2,0,GNU Affero General Public License v3.0,0,Scala,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/StartupsPoleEmploi/perspectives/directory/
mjl-avril,StartupsPoleEmploi,GitHub,https://github.com/StartupsPoleEmploi/mjl-avril,,False,2018-06-27T08:39:11Z,2018-06-27T08:43:59Z,,0,0,,0,JavaScript,,False,
elk-cluster,StartupsPoleEmploi,GitHub,https://github.com/StartupsPoleEmploi/elk-cluster,Cluster Elasticsearch-Logstash-Kibana pour les startups Pôle Emploi,False,2018-07-11T14:03:08Z,2019-05-02T09:45:04Z,,1,0,,0,Makefile,,False,
Avril-Frontend,StartupsPoleEmploi,GitHub,https://github.com/StartupsPoleEmploi/Avril-Frontend,,False,2018-07-12T10:05:40Z,2018-07-20T16:26:52Z,,0,0,MIT License,1,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/StartupsPoleEmploi/Avril-Frontend/directory/
Templates-Mailjet,StartupsPoleEmploi,GitHub,https://github.com/StartupsPoleEmploi/Templates-Mailjet,Template de mail MJML pour Mailjet,False,2018-07-16T14:22:14Z,2018-09-19T14:22:05Z,,0,0,,0,HTML,,False,
gerboise,StartupsPoleEmploi,GitHub,https://github.com/StartupsPoleEmploi/gerboise,Data collection and visualisation in Kibana for startups,False,2018-08-08T11:10:55Z,2019-05-03T06:01:19Z,,2,1,,0,Python,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/StartupsPoleEmploi/gerboise/directory/
anotea,StartupsPoleEmploi,GitHub,https://github.com/StartupsPoleEmploi/anotea,Service lancé par Pôle emploi permettant de collecter les avis de demandeurs d'emplois ayant suivis une formation.,False,2018-10-18T09:58:15Z,2019-07-31T12:38:43Z,https://anotea.pole-emploi.fr,6,0,GNU Affero General Public License v3.0,6,JavaScript,pole-emploi,True,https://archive.softwareheritage.org/browse/origin/https://github.com/StartupsPoleEmploi/anotea/directory/
jepostule,StartupsPoleEmploi,GitHub,https://github.com/StartupsPoleEmploi/jepostule,Un outil de candidature simplifiée intégrable à d'autres applications,False,2018-10-19T15:17:00Z,2019-07-02T13:39:09Z,,2,1,GNU Affero General Public License v3.0,1,Python,,False,
baggy,StartupsPoleEmploi,GitHub,https://github.com/StartupsPoleEmploi/baggy,Baggy: a container for Postal,False,2019-02-14T17:03:15Z,2019-03-13T17:11:37Z,,1,0,GNU Affero General Public License v3.0,0,Python,,False,
geomancie,StartupsPoleEmploi,GitHub,https://github.com/StartupsPoleEmploi/geomancie,Déploiement simplifié d'un serveur de tuiles géographiques,False,2019-02-28T16:41:44Z,2019-02-28T16:56:49Z,,0,0,,0,,,False,
labonnealternance-widget,StartupsPoleEmploi,GitHub,https://github.com/StartupsPoleEmploi/labonnealternance-widget,Widget La Bonne Alternance : Ciblez les entreprises qui recrutent en Alternance.,False,2019-03-07T13:48:03Z,2019-07-01T15:18:20Z,,0,0,,0,JavaScript,,False,
