nom,organisation_nom,plateforme,repertoire_url,description,est_fork,est_archive,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics,software_heritage_exists,software_heritage_url
signalement-ws,region-bretagne,GitHub,https://github.com/region-bretagne/signalement-ws,Scripts serveurs utilisés par Sign'adresse,False,False,2014-05-26T15:08:29Z,2014-09-09T13:07:20Z,,0,0,GNU General Public License v3.0,0,PHP,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/region-bretagne/signalement-ws/directory/
inventaire,region-bretagne,GitHub,https://github.com/region-bretagne/inventaire,Interface web permettant de saisir des éléments de l'inventaire,False,False,2014-09-24T07:43:44Z,2014-09-24T09:58:53Z,,0,0,GNU General Public License v2.0,0,CSS,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/region-bretagne/inventaire/directory/
viewer,region-bretagne,GitHub,https://github.com/region-bretagne/viewer,viewer with ol3 & bootstrap,False,False,2015-06-30T11:57:27Z,2015-06-30T14:11:05Z,,0,0,,0,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/region-bretagne/viewer/directory/
dd-portal,region-bretagne,GitHub,https://github.com/region-bretagne/dd-portal,Portail interne avec cartes et tableaux de bord,False,False,2017-04-06T10:27:50Z,2018-06-26T09:25:24Z,,0,0,GNU General Public License v3.0,0,HTML,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/region-bretagne/dd-portal/directory/
mviewer-apps,region-bretagne,GitHub,https://github.com/region-bretagne/mviewer-apps,MVIEWER APPS,False,False,2017-04-06T14:18:15Z,2019-08-09T14:25:55Z,,0,0,GNU General Public License v3.0,0,CSS,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/region-bretagne/mviewer-apps/directory/
territoire-portal,region-bretagne,GitHub,https://github.com/region-bretagne/territoire-portal,territoire portal,False,False,2017-04-07T14:59:09Z,2017-04-07T15:03:46Z,,0,0,GNU General Public License v3.0,0,HTML,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/region-bretagne/territoire-portal/directory/
