nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics,software_heritage_exists,software_heritage_url
opencti,OpenCTI-Platform,GitHub,https://github.com/OpenCTI-Platform/opencti,Open Cyber Threat Intelligence Platform,False,2018-12-17T22:57:34Z,2019-07-31T07:54:43Z,https://www.opencti.io,645,76,GNU Affero General Public License v3.0,53,JavaScript,"cti,cyber,cybersecurity,intelligence,osint,security,threat-intelligence",False,
client-python,OpenCTI-Platform,GitHub,https://github.com/OpenCTI-Platform/client-python,OpenCTI Python client,False,2019-06-18T14:08:55Z,2019-07-30T11:27:36Z,https://www.opencti.io,8,1,GNU Affero General Public License v3.0,3,Python,"cti,cybersecurity,threat-intelligence",False,
connectors,OpenCTI-Platform,GitHub,https://github.com/OpenCTI-Platform/connectors,OpenCTI connectors,False,2019-06-18T21:22:05Z,2019-07-23T14:43:26Z,https://www.opencti.io,3,3,GNU Affero General Public License v3.0,5,Python,"cti,cybersecurity,misp,mitre-attack,threat-intelligence",False,
datasets,OpenCTI-Platform,GitHub,https://github.com/OpenCTI-Platform/datasets,OpenCTI datasets,False,2019-06-24T00:27:22Z,2019-07-11T12:17:04Z,https://www.opencti.io,0,1,GNU Affero General Public License v3.0,1,,,False,
docs,OpenCTI-Platform,GitHub,https://github.com/OpenCTI-Platform/docs,OpenCTI documentation,False,2019-06-25T09:01:41Z,2019-07-30T21:50:15Z,https://www.opencti.io,1,0,,0,HTML,,False,
