nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics,software_heritage_exists,software_heritage_url
solidata_backend,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/solidata_backend,first draft for solidata_backend API,False,2018-06-18T13:38:03Z,2019-06-17T12:55:42Z,http://solidata-preprod-api.co-demos.com/api/auth/documentation,3,1,MIT License,29,Jupyter Notebook,"api,api-rest,entrepreneur-interet-general,flask,flask-restplus,jwt,mongodb,opendata,pandas,python,python3",True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/solidata_backend/directory/
metadocs,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/metadocs,The docs of your docs: manage sphinx documentations with mkdocs,False,2018-07-18T07:22:33Z,2019-06-25T04:47:23Z,,3,2,GNU Affero General Public License v3.0,0,Python,,False,
gobelins-datasource,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/gobelins-datasource,Data source API for Gobelins project,False,2018-08-05T12:43:39Z,2019-03-25T08:55:44Z,,0,0,,0,PHP,,False,
sedatif,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/sedatif,Vérification de conformité SEDA,False,2018-08-29T14:35:15Z,2018-08-29T14:39:12Z,,0,0,,0,Makefile,,False,
gobelins-landingpage,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/gobelins-landingpage,Une page d'annonce pour le projet Gobelins (2018),False,2018-09-10T12:53:12Z,2019-04-05T07:55:15Z,,0,0,,0,HTML,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/gobelins-landingpage/directory/
manifeste-eig,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/manifeste-eig,Brouillon pour un manifeste des entrepreneur·e·s d'intérêt général,False,2018-09-10T14:02:33Z,2019-06-25T19:57:06Z,,3,4,,4,,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/manifeste-eig/directory/
solidata_frontend,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/solidata_frontend,first draft for solidata_frontend : vue+nuxt+vuetify+i18n+axios,False,2018-09-11T09:32:29Z,2019-07-04T17:04:00Z,http://solidata-preprod.co-demos.com/,8,0,MIT License,47,Vue,"axios,i18n,nuxt,nuxtjs,opendata,vue,vuejs,vuetify,vuetifyjs",True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/solidata_frontend/directory/
entity-resolution-evaluation,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/entity-resolution-evaluation,A python package to evaluate entity resolution,False,2018-10-18T08:54:53Z,2018-11-06T10:49:39Z,,2,0,MIT License,2,Python,,False,
H3.Standard,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/H3.Standard,Uber H3 library C# Bindings,False,2018-10-18T09:48:54Z,2019-07-21T01:32:41Z,,12,0,Apache License 2.0,0,C,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/H3.Standard/directory/
Shom.S57,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/Shom.S57,C# parser for reading S57 Electronic Navigation Charts (ENCs),False,2018-10-19T12:51:15Z,2019-03-05T08:57:58Z,,1,2,Other,1,C#,,False,
