nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
adresses-locales,etalab,GitHub,https://github.com/etalab/adresses-locales,Agrégation des bases Adresse locales,False,2018-11-22T10:39:53Z,2019-03-22T22:08:40Z,,1,0,MIT License,0,JavaScript,
munin-theme,etalab,GitHub,https://github.com/etalab/munin-theme,,False,2018-12-17T11:15:41Z,2018-12-17T12:06:22Z,,0,0,MIT License,0,JavaScript,
data-codes-sources-fr,etalab,GitHub,https://github.com/etalab/data-codes-sources-fr,Métadonnées des dépôts de code d'organismes publics en France,False,2018-12-30T14:20:30Z,2019-03-30T19:20:40Z,https://www.data.gouv.fr/fr/datasets/inventaire-des-depots-de-code-source-des-organismes-publics/,7,0,MIT License,2,Python,"codes-sources-fr,government,open-source"
adresses-util,etalab,GitHub,https://github.com/etalab/adresses-util,,False,2019-01-02T23:15:00Z,2019-02-06T16:06:39Z,,0,0,MIT License,1,JavaScript,
adresses-ftth,etalab,GitHub,https://github.com/etalab/adresses-ftth,Extraction des adresses contenues dans les fichiers de déploiement FTTH,False,2019-01-02T23:38:15Z,2019-03-01T15:39:43Z,,0,0,MIT License,0,JavaScript,
adresses-aggregate,etalab,GitHub,https://github.com/etalab/adresses-aggregate,Agrégation d'adresses de sources multiples,False,2019-01-08T07:25:23Z,2019-01-08T07:25:52Z,,0,0,MIT License,0,,
ox-html-timeline,etalab,GitHub,https://github.com/etalab/ox-html-timeline,Create HTML timelines by exporting .org files,True,2019-01-24T17:46:31Z,2019-01-24T17:46:33Z,,0,0,,0,Emacs Lisp,
csv2html,etalab,GitHub,https://github.com/etalab/csv2html,,True,2019-01-24T17:47:17Z,2019-01-24T17:47:20Z,,0,0,Eclipse Public License 1.0,0,Clojure,
js-normadresse,etalab,GitHub,https://github.com/etalab/js-normadresse,Normalisation des libellés de voie selon la norme postale,False,2019-01-29T14:09:20Z,2019-03-18T06:17:41Z,,1,0,,1,JavaScript,
data.etalab.studio,etalab,GitHub,https://github.com/etalab/data.etalab.studio,⧊ playground | news ideas | open data portal,False,2019-02-02T21:12:03Z,2019-03-05T16:27:52Z,https://data.etalab.studio,0,1,,0,HTML,
notebooks,etalab,GitHub,https://github.com/etalab/notebooks,🤓 📓 📊,False,2019-02-12T13:18:08Z,2019-03-19T16:31:14Z,,0,0,,0,Jupyter Notebook,"datascience,jupyter,notebooks,open-data"
franceconnect-rne,etalab,GitHub,https://github.com/etalab/franceconnect-rne,Expérimentation de croisement entre FranceConnect et le Répertoire National des Élus,False,2019-02-12T14:16:12Z,2019-02-12T14:21:57Z,,0,0,MIT License,0,JavaScript,
autopsy,etalab,GitHub,https://github.com/etalab/autopsy,⏲️ 🤖 📚  service d'exécution automatique et de publication de notebooks,False,2019-02-27T16:56:05Z,2019-03-05T09:18:14Z,,0,1,,0,Dockerfile,
api-bal,etalab,GitHub,https://github.com/etalab/api-bal,API permettant la gestion de bases d’adresses à l’échelon local,False,2019-03-06T12:46:12Z,2019-03-26T08:36:41Z,,1,0,MIT License,6,JavaScript,"addresses,database,france,management"
algorithmes-publics,etalab,GitHub,https://github.com/etalab/algorithmes-publics,Guide sur les algorithmes publics à l'usage des administrations,False,2019-03-08T09:08:12Z,2019-03-29T08:37:52Z,https://etalab.github.io/algorithmes-publics/,7,5,Other,0,,
editeur-bal,etalab,GitHub,https://github.com/etalab/editeur-bal,,False,2019-03-25T11:13:51Z,2019-03-29T17:03:43Z,,0,0,,0,JavaScript,"addresses,france"
pseudononymizer,etalab,GitHub,https://github.com/etalab/pseudononymizer,API for pseudononymizing,False,2019-03-29T15:30:32Z,2019-03-29T15:32:42Z,,1,0,MIT License,1,Python,
