nom,organisation_nom,organisation_url,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,homepage,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
DAMIR,SGMAP-AGD,https://github.com/SGMAP-AGD,https://github.com/SGMAP-AGD/DAMIR,"Wiki et codes pour le hackathon du 26 janvier 2015 organisé par la CNAMTS et Etalab. Il contient un wiki de présentation des données, des codes utiles et des réutilisations",False,2015-01-20T09:15:13Z,2018-05-19T23:03:52Z,,11,5,,2,Python,"damir,health-data"
densite_medecins,SGMAP-AGD,https://github.com/SGMAP-AGD,https://github.com/SGMAP-AGD/densite_medecins,Projet collabaratif mené lors du hackathon DAMIR du 26 janvier 2015,False,2015-01-26T14:48:33Z,2015-01-29T13:43:06Z,,4,1,,0,R,
Elections,SGMAP-AGD,https://github.com/SGMAP-AGD,https://github.com/SGMAP-AGD/Elections,Page de ressources pour l'Open Data Camp Elections,False,2015-02-08T21:02:22Z,2017-04-30T12:02:54Z,,7,7,,0,Python,
csv_detective,SGMAP-AGD,https://github.com/SGMAP-AGD,https://github.com/SGMAP-AGD/csv_detective,CSV inspection,False,2015-02-10T11:35:26Z,2018-01-10T16:18:16Z,,7,4,,9,Python,
csp_vote,SGMAP-AGD,https://github.com/SGMAP-AGD,https://github.com/SGMAP-AGD/csp_vote,Projet collaboratif mené lors de l'OpenDataCamp Elections du 23 février 2015,False,2015-02-23T09:50:08Z,2018-01-02T20:32:44Z,,4,2,,0,R,
CompareDF,SGMAP-AGD,https://github.com/SGMAP-AGD,https://github.com/SGMAP-AGD/CompareDF,Le projet est ici de créer un utilitaire pour faciliter l'utilisation de panel lorsque les nomenclatures changent,False,2015-03-25T11:11:17Z,2016-01-22T16:46:12Z,,0,0,,0,Python,
Datadouane,SGMAP-AGD,https://github.com/SGMAP-AGD,https://github.com/SGMAP-AGD/Datadouane,Wiki et codes pour le hackathon du 20 Mai 2015 organisé par la DGDDI et Etalab. ,False,2015-05-11T08:32:11Z,2015-10-07T14:25:51Z,,2,0,,0,R,
wiki_agd,SGMAP-AGD,https://github.com/SGMAP-AGD,https://github.com/SGMAP-AGD/wiki_agd,"This repo contains pywikibots for the ""Wiki de l'AGD"" ",False,2015-09-09T07:04:52Z,2015-10-07T14:24:57Z,,0,0,,2,Python,
Tools,SGMAP-AGD,https://github.com/SGMAP-AGD,https://github.com/SGMAP-AGD/Tools, Useful functions to work with data.,False,2015-09-09T14:19:14Z,2018-08-30T15:28:05Z,http://agd-tools.readthedocs.org/,6,1,,4,Python,
data_calendar,SGMAP-AGD,https://github.com/SGMAP-AGD,https://github.com/SGMAP-AGD/data_calendar,,False,2015-09-11T16:45:15Z,2015-09-11T16:45:21Z,,0,1,,0,Python,
open-moulinette,SGMAP-AGD,https://github.com/SGMAP-AGD,https://github.com/SGMAP-AGD/open-moulinette,Scripts to clean Open-Data.,True,2015-11-25T13:51:15Z,2017-07-13T15:56:21Z,,2,0,,0,Python,
anonymisation,SGMAP-AGD,https://github.com/SGMAP-AGD,https://github.com/SGMAP-AGD/anonymisation,Repertoire sur l'anonymisation,False,2016-01-18T16:46:13Z,2018-08-02T07:23:23Z,,13,7,,1,Python,"anonymisation,differential-privacy,k-anonymity,l-diversity,pseudonymisation"
