nom,organisation_nom,plateforme,repertoire_url,description,est_fork,est_archive,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics,software_heritage_exists,software_heritage_url
api-gestion,BaseAdresseNationale,GitHub,https://github.com/BaseAdresseNationale/api-gestion,API de gestion pour base de données Adresse,False,False,2015-10-20T16:24:34Z,2019-05-16T09:04:04Z,,17,12,,32,Python,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/BaseAdresseNationale/api-gestion/directory/
charte-experimentation-2017,BaseAdresseNationale,GitHub,https://github.com/BaseAdresseNationale/charte-experimentation-2017,Charte d'expérimentation de l'API de gestion de la BAN (en vigueur à l'été 2017),False,True,2017-05-23T07:54:16Z,2019-02-04T07:38:53Z,,0,1,,1,,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/BaseAdresseNationale/charte-experimentation-2017/directory/
donnees-initiales-2018,BaseAdresseNationale,GitHub,https://github.com/BaseAdresseNationale/donnees-initiales-2018,Scripts d'initialisation de la BAN en vigueur en 2018,False,True,2017-05-31T13:23:12Z,2019-02-20T12:41:05Z,,1,1,,20,Shell,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/BaseAdresseNationale/donnees-initiales-2018/directory/
script_divers,BaseAdresseNationale,GitHub,https://github.com/BaseAdresseNationale/script_divers,,False,False,2017-06-20T12:56:56Z,2019-05-21T07:08:39Z,,0,0,,7,Python,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/BaseAdresseNationale/script_divers/directory/
ban,BaseAdresseNationale,GitHub,https://github.com/BaseAdresseNationale/ban,Méta-dépôt des travaux autour de la Base Adresse Nationale,False,False,2017-07-27T12:03:34Z,2019-04-06T06:43:55Z,,3,2,,12,,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/BaseAdresseNationale/ban/directory/
