nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
candilib,LAB-MI,GitHub,https://github.com/LAB-MI/candilib,,False,2018-08-02T20:11:27Z,2018-12-10T10:02:38Z,,3,7,GNU Lesser General Public License v3.0,18,JavaScript,
LAB-MI.github.io,LAB-MI,GitHub,https://github.com/LAB-MI/LAB-MI.github.io,Site de l'incubateur de startups du ministère de l'intérieur,False,2018-08-05T09:28:10Z,2019-05-24T19:41:28Z,,0,3,GNU General Public License v3.0,0,JavaScript,
candilibV2,LAB-MI,GitHub,https://github.com/LAB-MI/candilibV2,,False,2018-12-21T13:17:19Z,2019-05-28T00:46:35Z,,3,3,,79,JavaScript,
