nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics,software_heritage_exists,software_heritage_url
tchap-android,dinsic-pim,GitHub,https://github.com/dinsic-pim/tchap-android,A glossy Matrix collaboration client for Android,True,2018-01-10T13:18:32Z,2019-07-25T13:56:32Z,,133,25,Apache License 2.0,51,Java,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/dinsic-pim/tchap-android/directory/
matrix-react-sdk,dinsic-pim,GitHub,https://github.com/dinsic-pim/matrix-react-sdk,Matrix SDK for React Javascript,True,2018-03-15T09:52:28Z,2019-07-29T06:12:32Z,,14,10,Apache License 2.0,9,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/dinsic-pim/matrix-react-sdk/directory/
tchap-web,dinsic-pim,GitHub,https://github.com/dinsic-pim/tchap-web,A glossy Matrix collaboration client for the web.,True,2018-04-09T14:03:14Z,2019-07-20T07:40:23Z,,61,10,Apache License 2.0,4,JavaScript,,False,
tchap-ios,dinsic-pim,GitHub,https://github.com/dinsic-pim/tchap-ios,A glossy Matrix collaboration client for iOS,True,2018-08-10T13:49:05Z,2019-07-31T06:20:22Z,,44,14,Apache License 2.0,36,Objective-C,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/dinsic-pim/tchap-ios/directory/
Tchap-artwork,dinsic-pim,GitHub,https://github.com/dinsic-pim/Tchap-artwork,Sketch assets for Tchap (Web/iOS/Android),False,2019-03-29T08:05:06Z,2019-05-10T07:00:25Z,,3,5,,0,,,False,
