nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
EnvironmentalSemanticWeb,INSIDE-information-systems,GitHub,https://github.com/INSIDE-information-systems/EnvironmentalSemanticWeb,Semantic web in environmental information systems / Websémantique dans les SI environnementaux,False,2018-06-29T07:40:06Z,2018-09-19T14:52:43Z,,0,1,,5,,
SensorThingsAPI,INSIDE-information-systems,GitHub,https://github.com/INSIDE-information-systems/SensorThingsAPI,Implementation of OGC SensorThing API for Environmental Data / Implementation du standard OGC SensorThings API pour les données environnementales,False,2018-07-02T15:00:43Z,2019-03-19T13:21:58Z,,3,0,,7,PLpgSQL,
CO2emissions_email_plugin,INSIDE-information-systems,GitHub,https://github.com/INSIDE-information-systems/CO2emissions_email_plugin,Email client plugin to calculate your email carbon footprint ,False,2018-09-24T13:49:29Z,2018-11-07T06:09:01Z,,0,0,,0,JavaScript,
wfd2018,INSIDE-information-systems,GitHub,https://github.com/INSIDE-information-systems/wfd2018,"Testing tools suite deployed by French Agencies (MoE, Water Agencies, Water Offices) to support French 2018 WFD reporting",False,2018-10-01T11:59:30Z,2018-11-12T10:17:17Z,,1,1,,0,,
WatershedWPS,INSIDE-information-systems,GitHub,https://github.com/INSIDE-information-systems/WatershedWPS,"Service en ligne (OGC:WPS) permettant de calculer un bassin versant en tout point du territoire français, selon différentes configurations. ",False,2018-11-27T09:19:45Z,2018-11-28T09:19:47Z,http://reseau.eaufrance.fr/geotraitements/viewer/bassin-versant,0,0,,0,,
RiverNetworkWPS,INSIDE-information-systems,GitHub,https://github.com/INSIDE-information-systems/RiverNetworkWPS,,False,2018-11-27T09:20:12Z,2018-11-27T09:20:15Z,,0,0,,0,,
HydrogeologyWxS,INSIDE-information-systems,GitHub,https://github.com/INSIDE-information-systems/HydrogeologyWxS,,False,2018-11-27T09:20:36Z,2018-11-27T09:20:38Z,,0,0,,0,,
WFS3,INSIDE-information-systems,GitHub,https://github.com/INSIDE-information-systems/WFS3,WFS3 deployment on French Groundwater Information Network features,False,2018-11-27T09:21:28Z,2019-03-04T16:11:00Z,,2,1,,1,,
TheHeart,INSIDE-information-systems,GitHub,https://github.com/INSIDE-information-systems/TheHeart,A small IoT device for a bigger environmental knowledge,False,2019-02-15T19:10:05Z,2019-03-07T14:00:59Z,,0,0,,0,Python,
