nom,organisation_nom,plateforme,repertoire_url,description,est_fork,est_archive,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics,software_heritage_exists,software_heritage_url
givaro,linbox-team,GitHub,https://github.com/linbox-team/givaro,Givaro - C++ library for arithmetic and algebraic computations,False,False,2015-07-01T09:30:51Z,2019-07-31T04:52:59Z,https://casys.gricad-pages.univ-grenoble-alpes.fr/givaro,29,13,Other,7,C++,"arithmetic,polynomials",True,https://archive.softwareheritage.org/browse/origin/https://github.com/linbox-team/givaro/directory/
fflas-ffpack,linbox-team,GitHub,https://github.com/linbox-team/fflas-ffpack,FFLAS-FFPACK - Finite Field Linear Algebra Subroutines / Package,False,False,2015-07-01T12:09:57Z,2019-08-05T09:09:34Z,http://linbox-team.github.io/fflas-ffpack/,31,9,GNU Lesser General Public License v2.1,37,C++,"blas-libraries,finite-fields,linear-algebra",True,https://archive.softwareheritage.org/browse/origin/https://github.com/linbox-team/fflas-ffpack/directory/
linbox,linbox-team,GitHub,https://github.com/linbox-team/linbox,"LinBox - C++ library for exact, high-performance linear algebra ",False,False,2015-07-01T15:54:18Z,2019-08-11T19:31:44Z,https://linbox-team.github.io/linbox,43,13,GNU Lesser General Public License v2.1,58,C++,"blackbox,finite-fields,linear-algebra,linear-system-solver,multiprecision",True,https://archive.softwareheritage.org/browse/origin/https://github.com/linbox-team/linbox/directory/
linbox-team.github.io,linbox-team,GitHub,https://github.com/linbox-team/linbox-team.github.io,LinBox team,False,False,2019-06-05T07:53:44Z,2019-07-26T19:07:36Z,https://linbox-team.github.io,0,0,,0,HTML,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/linbox-team/linbox-team.github.io/directory/
